titulo,articulo,lugar,autor,fecha,url
Prohíben acceso de vehículos a playas de Melaque,"La delegación municipal de San Patricio Melaque en conjunto con las autoridades municipales de Cihuatlán, colocaron unas lonas en las bocacalles que dan hacia la playa, para advertirle a las personas que está prohibido acceder con vehículos automotores. Ahora que comenzó el período vacacional de Semana Santa y Pascua 2025, fechas en que las playas incrementan su afluencia de visitantes, es importante para las autoridades generar estrategias que ayuden a salvaguardar la seguridad tanto de las personas que viven en el municipio como de quienes llegan de visita. Con el apoyo de la Dirección de Ecología, Turismo, el equipo del municipio y la delegación municipal de San Patricio Melaque colocaron estas lonas, para impedir el acceso de vehículos motorizados (autos y motocicletas) a la zona de la playa. Los objetivos de esta medida son: Para asegurar que las personas respeten estas advertencias, habrá personal de las corporaciones municipales haciendo labores de vigilancia.","Cihuatlán, Jalisco",,,https://letrafria.com/prohiben-acceso-de-vehiculos-a-playas-de-melaque/
Abrirán módulo permanente de licencias de conducir en El Grullo,"A través de una gestión realizada por el gobierno municipal de El Grullo, este municipio contará con un módulo permanente de la Secretaría de Transporte para emitir licencias de conducir, lo dio a conocer a través de un video en redes sociales el presidente municipal Milton Cárdenas, acompañado del jefe de gabinete de Gobierno del Estado de Jalisco, Alberto Esquer. El funcionario estatal comentó, que este será un proyecto piloto que traerá beneficios para los municipios de esta región y permitirá además considerar la pertinencia de abrir oficinas en otros puntos. Este trámite de las licencias es básico para todas aquellas personas que tienen un vehículo y ahora tendrán la posibilidad de obtenerla sin tener que ir a Guadalajara o esperar algún módulo itinerante; en El Grullo habrá de forma permanente este servicio. Ambos funcionarios comentaron, que pretenden que el módulo permanente esté abierto en aproximadamente dos meses.","El Grullo, Jalisco",,,https://letrafria.com/abriran-modulo-permanente-de-licencias-de-conducir-en-el-grullo/
"Tras protestas, acuerdan mesas de trabajo por estudiantes desaparecidos","Estudiantes de la Universidad de Guadalajara (UdeG) se manifestaron en palacio de gobierno estatal, para exigir seguridad y que se localice con vida a más de una veintena de universitarios desaparecidos entre 2014 y 2024. Entre los casos está el de Juan Carlos Castañeda Gómez, estudiante desaparecido en Autlán el 11 de julio de 2018. A media manifestación, el gobernador Pablo Lemus Navarro apareció, acompañado de la rectora Karla Planter, en el balcón de palacio de gobierno y decidió reunirse con la rectora y con la presidenta de la FEU, Zoé García, para revisar el tema. Junto con la rectora de la @udg_oficial, @KarlaPlanter1, y la presidenta de la FEU, @Zoermr_, acordamos instalar la próxima semana una mesa de trabajo para atender el tema de los alumnos no localizados de la UdeG, porque compartimos el mismo propósito: evitar que las y los… pic.twitter.com/xEv8I1udAe El acuerdo fue que la próxima semana instalarán una mesa de trabajo entre la UdeG y el gobierno de Jalisco en dos sentidos: la búsqueda y la prevención. El mandatario estatal mencionó, que un tema prioritario debe ser prevenir el reclutamiento forzado por parte del crimen organizado. “Necesitamos informar a las y los jóvenes de la Universidad de Guadalajara, y de todo Jalisco, del fenómeno de la desaparición y del reclutamiento”, dijo el gobernador en un video que subió a sus redes sociales tras la reunión. Por su parte, García dijo a medios de comunicación que “generaremos una mesa donde vamos a tener actualizaciones permanentes de Fiscalía y además vamos a generar un esfuerzo conjunto para aumentar el tema de la campaña de prevención”. A la manifestación también acudieron familiares de estudiantes desaparecidos que, aunque no los recibió el gobernador, tuvieron acercamiento con el secretario General de Gobierno, Salvador Zamora, para hablar de cada uno de los casos. Estrategia debe enfocarse en la redes Montalberti Serrano Cervantes, coordinador General de Seguridad Universitaria de la UdeG, consideró que es necesario trasladar las acciones al campo de las redes sociales, pues es una realidad el reclutamiento del crimen organizado, ya sea a través de engaños u ofertas explícitas. De los adolescentes desaparecidos en lo que va del año, al menos en dos casos se tienen indicios de esto, dijo. Mencionó, que en conjunto con las autoridades establecieron una estrategia para atender y reducir la incidencia delictiva en los entornos universitarios en delitos físicos como robo o acoso sexual, pero para enfrentar el reclutamiento forzado es necesario atender el problema también en el campo virtual.","Guadalajara, Jalisco",,,https://letrafria.com/tras-protestas-acuerdan-mesas-de-trabajo-por-estudiantes-desaparecidos/
Encuentro Jóvenes y Agroecología en El Limón supera los 600 asistentes,"El Encuentro Jóvenes y Agroecología “Intercambio de Experiencias” organizado por la Escuela Preparatoria Regional El Grullo (EPREG) Módulo El Limón, alcanzó una asistencia de 657 personas, principalmente estudiantes, no sólo de instituciones de la red de la Universidad de Guadalajara, sino de otra latitudes. Del total de asistentes registrados, 494 lo hicieron de manera previa a través de la plataforma en línea habilitada y otros 163 se registraron ya en la preparatoria el pasado sábado 10 de abril. Entre las ciudades de origen de las y los estudiantes asistentes, las que predominaron fueron: ● Guadalajara: 118 asistentes ● CDMX: 125 asistentes ● Zapotlán el Grande: 106 asistentes ● Ixtlahuacán de los Membrillos: 39 asistentes ● Autlán de Navarro: 25 asistentes ● Colima: 19 asistentes ● El Salto: 15 asistentes Las autoridades universitarias en su discurso de inauguración, coincidieron en que este encuentro de la EPREG Módulo El Limón ha crecido a lo largo de estas tres ediciones y tiene mucho potencial para fortalecerse como un referente -a nivel regional, nacional e internacional- de la formación e intercambio de experiencias entre jóvenes en el ámbito de la agroecología. De los 20 talleres prácticos ofertados en el encuentro, hubo 9 en particular que tuvieron mayor demanda. Fortalece encuentro experiencias en agroecología En esta tercera edición del encuentro, el comité organizador decidió proponer que los talleres fueran impartidos no sólo por estudiantes o docentes de la institución anfitriona, sino de incluir a las preparatorias, especialistas y otras instituciones que apoyan como el ITESO, para enriquecer el intercambio de experiencias. “La diversidad de talleres, participantes e instituciones involucradas evidencia que la agroecología se está consolidando como un campo transdisciplinario, que integra aspectos productivos, ecológicos, sociales y culturales. De cara al futuro, el desafío será convertir este entusiasmo en acciones concretas que promuevan la transición hacia sistemas agroalimentarios más sostenibles, justos y resilientes. El compromiso mostrado por las y los jóvenes participantes permite vislumbrar un futuro prometedor para la agroecología en México”, se lee en un informe realizado por la EPREG Módulo El Limón sobre el encuentro agroecológico.","El Limón, Jalisco",,,https://letrafria.com/encuentro-jovenes-y-agroecologia-en-el-limon-supera-los-600-asistentes/
Sandra Borja,"Mientras vivimos tiempos de cuaresma, de “guardarnos”, de “ser buenas personas”, “hacer buenas acciones”, “no comer carne en viernes”, “no pecar” y todo lo que engloba el “portarnos bien”, todo queda entre comillas y a manera de sarcasmo, para qué nos hacemos tontxs.

Cargamos crucifijos, tenemos imágenes de deidades religiosas en nuestros hogares de adorno, absolutamente nadie pone en práctica los consejos que dice la biblia, NADIE, ni quienes lideran o sus más fieles seguidores. Quien venga frente a mi y me diga “yo sí aplico en mi vida el ejemplo que nos dejo Jesucristo“, me río en su cara y en minutos le compruebo que no es así.

En pasados días, se viralizo un video, se trataba de Sara Millerey una chica trans de Medellín, Colombia con 32 años de edad. Dejó este plano de una manera similar al sufrimiento que vivió Jesús de Nazareth: Se les juzgó, se les torturó , y así como frente a los ojos de todos Jesús sufrió, Sara vivió exactamente el mismo patrón.

Alcance del caso

Fueron muchos los que observaron y no movieron un dedo, pero ahora llevado a otro nivel, las benditas redes sociales, donde millones más lo vieron y no movieron un dedo, únicamente las nuestrxs alzaron la voz de indignación, y cuando ese reclamo alcanzó niveles mundiales, entonces sí salen a ofrecer recompensa, sin embargo seguimos sin tener a los responsables tras las rejas.

Sara vivió sus últimos momentos con sufrimiento, sin embargo este llegó a su fin, ella descansa en paz. Tuvo su misa y sepultura como la mayoría de personas católicas, a un lado de su altar se encuentra una imagen de la Virgen de Guadalupe, por lo que deduzco que su madre Sandra Borja y quizá la misma Sara pertenecían a esta religión. Sí, esa misma que nos ha condenado.

A la señora Sandra Borja le tocó sentir lo que a María cuando ve a su único hijo morir frente a ella. Elegí el título en su nombre, porque es a quien debemos de mandar luz, una oración, esa mujer sepultó a su única hija Sara. Lo hace sabiendo que fue brutalmente agredida, frente a una sociedad ciega, temerosa, indiferente, igualita a la que gritaba “Crucifiquenlo”.

No imagino el nivel de dolor y ausencia que debe de estar pasando, espero que ese dolor lo transforme en reclamo a la sociedad, que funde una asociación pro trans como lo han hecho las madres buscadoras, como lo hizo María con Jesús, que hasta hoy su nombre resuena y que su ejemplo de vida debería de ser el que lleváramos todos: Ayudar al prójimo, curar al leproso, alimentar a los pobres, no juzgar, etc.

Extraído de la red

Sara Millerey quería ser recordada como una mujer trans hermosa. Cuando se iba a dormir le decía a su mamá que era su hora de “reposar belleza”.

Inició su transición de género a los 15 años y escogió Millerey como su nombre porque le encantaban las “mirellas”: las brillantinas, la escarcha, lo que iluminara su pelo y ojos. Una de sus amigas recuerda que la conoció en las calles de Bello, municipio aledaño a Medellín, y se veía preciosa bailando coreografías de Britney Spears.

Sandra Borja, la mamá de Sara, quisiera recordar a su única hija así, como la niña más bella de Bello, muy amorosa con su madre. Si pudiera, cuenta, borraría de su mente la imagen por la que Colombia conoció a su hija de 32 años el fin de semana pasado: un video, de 28 segundos, en el que aparece ahogándose en una quebrada sucia, sin posibilidad de nadar porque alguien le había fracturado sus piernas, brazos y manos. “Ahora me voy a quedar con esas imágenes toda la vida”, dice entre lágrimas. “Me la mataron por ser ella”.

En busca de justicia

Tengo mi fe puesta en que el caso de Sara no quedará impune, que los asesinxs van a caer, que se hará presente la justicia divina y la justicia terrenal.

Espero que los nuevos sacerdotes abran las puertas de sus iglesias a la comunidad LGTB+ de par en par, no únicamente para que se las decoren muy bonitas o en nuestro lecho de muerte. El día que vea a la comunidad católica haciendo lo que hacía Jesús de Nazareth ese día tendrán mi respeto, regresaré a misa y les perdonaré todas las que nos han hecho.

Bienaventurados los que tienen hambre y sed de justicia, porque ellos serán saciados.(Mateo 5:6).",,,,https://letrafria.com/sandra-borja/
Arrancarán obra de Centro Acuático Regional El Grullo después de 16 años,"Este miércoles 9 de abril, en el municipio de El Grullo, arrancará la obra del Centro Acuático Regional El Grullo -que duró casi 16 años como un elefante blanco- con una inversión inicial de poco más de 24 millones de pesos, de los 50 millones que anunció el gobernador Pablo Lemus en su gira por la región realizada el pasado 13 de enero. A través de una publicación en redes sociales, el presidente municipal Milton Cárdenas anunció el arranque de esta obra, con una inversión inicial de 24 millones 448 mil 531 pesos con 57 centavos. En la publicación, Milton Cárdenas mencionó un agradecimiento al entonces presidente Gabriel Gómez Michel, de quien fue la iniciativa en su administración (2010-2012), sin embargo nunca concluyeron la obra. El proyecto denominado Centro Regional de Natación de El Grullo, ahora nombrado como Centro Acuático Regional El Grullo, entre el 2010 y el 2012 tuvo una inversión total de 20 millones 528 mil 427.82 pesos; en su mayoría del Fondo Complementario para el Desarrollo Regional (FONDEREG) del estado de Jalisco y una aportación de la Comisión Nacional de Cultura Física y Deporte (CONADE), de acuerdo a una petición de información vía transparencia hecha por Letra Fría en 2022. En 2022, hubo un intento de Milton Cárdenas durante su administración para echarlo a andar, pero fue hasta ahora que se concreta retomar esta obra que en total costará alrededor de 70 millones de pesos. En su visita al municipio de El Grullo, el gobernador Pablo Lemus dijo que iniciarían la obra aproximadamente a mediados de febrero pasado.","El Grullo, Jalisco",,,https://letrafria.com/arrancaran-obra-de-centro-acuatico-regional-el-grullo-despues-de-16-anos/
ONU investigará a México por desapariciones,"Ginebra, Suiza.- El Comité contra la Desaparición Forzada (CED) de la Organización de las Naciones Unidas (ONU) inició el viernes un procedimiento para México conforme al artículo 34 de la Convención Internacional para la Protección de todas las Personas contra las Desapariciones Forzadas.

El organismo determinó lo anterior tras contar con información que apunta a que en México las desapariciones son generalizadas, por lo tanto, están en condiciones de iniciar con el procedimiento que podría llevar el caso mexicano a la Asamblea General de la ONU.

“Fue este periodo de sesiones también oportuno para centrarnos en otra situación preocupante, la de México. Lo hicimos aplicando tres procedimientos que prevé la Convención: el procedimiento de acción urgente, artículo 30, el procedimiento de comunicaciones individuales, artículo 31, y también basándonos en el procedimiento previsto en el artículo 34”, dijo Oliver de Frouville, presidente del CED.

Añadió que “recibió el Comité informaciones que, en su opinión, contienen informaciones fundamentadas que indican que la desaparición forzada se lleva a cabo de manera general o sistemática en el territorio bajo jurisdicción de México”.

Tras esto, la primera acción es solicitar al Estado Mexicano toda la información sobre esta situación sin prejuicios, a la par, buscarán diálogo y cooperación con las autoridades. De encontrar elementos que confirmen que las desapariciones forzadas, resultan generalizadas o sistemáticas, el caso de México podría llegar a la Asamblea de la ONU.

Esperan seriedad del Estado Mexicano

Desde el Centro de Justicia para la Paz y el Desarrollo (Cepad) reconocieron el anunció, ya que es inédito en el mundo, nunca antes se había iniciado un procedimiento de esta magnitud y esto habla de que desde la esfera internacional ya se nota la preocupación por lo que ocurre en el país.

“Implica el reconocimiento del Comité en cuanto a la preocupante y alarmante situación en México en materia de desaparición forzada. Este procedimiento se buscó activar por parte de las víctimas y diversos organismos en los últimos años con un particular énfasis y petición más consolidada durante la visita del Comité en 2021. Seguramente, a esta decisión contribuyeron las actualizaciones más recientes sobre los casos de desaparición de personas en el país y el hallazgo en el Rancho Izaguirre de Teuchitlán”.

Ahora, lo que se espera es que el Estado Mexicano esté dispuesto a colaborar tanto con la aportación de la información solicitada, como en una estrategia conjunta para atender la crisis.

Autoridades rechazan señalamientos

El gobierno de México emitió una tarjeta informativa respecto a la determinación del CED de la ONU en el que rechazó los señalamientos, bajo el argumento que las desapariciones no las ordena el gobierno encabezado por la presidenta Claudia Sheinbaum Pardo.

“El Gobierno de México rechaza las declaraciones de integrantes del Comité entorno a la supuesta práctica de desaparición forzada por parte del Estado. El Gobierno mexicano no consiente, permite u ordena la desaparición de personas como parte de una política de Estado”, describió.

Afirmó que sí contestará las solicitudes del CED, pero precisó que lo harán porque el gobierno de México está obligado debido a la convención internacional de la que es parte.

Esta postura la reafirmó la Comisión Nacional de Derechos Humanos, instancia que incluso negó la existencia de una crisis.

“Rechazamos que se vive una crisis de desapariciones en México y más aún que estas sean consecuencia de una política de Estado. Creemos que el posicionamiento del presidente del CED está totalmente descontextualizado de las razones que motivan la persistencia de las desapariciones en nuestro país”.

Y, mientras por un lado dice que no hay crisis, a la par anunció que para atender a las víctimas habilitarán a partir del 15 de abril una oficina en Guadalajara.",,,,https://letrafria.com/onu-investigara-a-mexico-por-desapariciones/
Ratifican comisión de trabajo para restaurar la Sierra de Quila,"La Junta de Gobierno del Organismo Público Descentralizado (OPD) Sierra de Quila ratificó el pasado 3 de abril – en la segunda sesión ordinaria- la conformación de la comisión de trabajo para la atención a la restauración de las zonas afectadas por el incendio, ocurrido en la sierra el pasado 13 de marzo, compartió a Letra Fría, el director general del OPD Sierra de Quila, Marduck Cruz Bustamante. La comisión estará liderada por la Comisión Nacional de Áreas Naturales Protegidas (CONANP) y la Secretaría del Medio Ambiente y Desarrollo Territorial (SEMADET) por ser la Sierra de Quila un Área Natural Protegida de carácter federal en coadministración con el estado; también participarán académicos de la Universidad de Guadalajara, el ayuntamiento de Tecolotlán, integrantes del ejido Tecolotlán, el OPD Sierra de Quila, Protección Civil del Estado y el Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (INIFAP) Una vez oficializada esta comisión de trabajo, Marduck Cruz dijo que prevén tener un primer encuentro en los días próximos (9 o 10 de abril) para sentar las bases de la ruta crítica de trabajo para intervenir en la sierra. Hubo 111 hectáreas en Sierra de Quila con impacto de mayor severidad Durante la reunión de la junta de trabajo, el pasado 3 de abril, mencionaron que como parte del diagnóstico hubo algunas áreas donde registraron quemas de mayor severidad, cerca de algunos afluentes. Marduck Cruz confirmó que de acuerdo al mapa de severidad determinaron que, de las 838 hectáreas afectadas por el incendio, 111 hectáreas están registradas como de mayor severidad y se pretende que estas áreas sean prioritarias en la atención. “Prioritariamente se van a enfocar los esfuerzos en estas zonas para evitar por ejemplo pérdida de suelo, hacer limpieza, remoción de todo el arbolado que se va a caer, salvaguardando lo que es la protección de las personas que circulan principalmente por el camino de Tecolotlán a Quila y de los propios colaboradores que estamos ahí en la sierra y los propietarios, ese sería el enfoque primordial”, agregó Cruz Bustamente. En el resto del área afectada -a reserva de lo que decida la comisión de trabajo- estarán evaluando la pertinencia de ver cómo responde el bosque a las primeras lluvias, para a partir de ahí plantear las siguientes acciones necesarias en el proceso de restauración. Buena disposición ciudadana Luego de ocurrido el incendio, la población de Tecolotlán ha mantenido un buen ánimo para colaborar con los trabajos de restauración, por ello dijo Marduck Cruz que lo primero será definir en la comisión de trabajo la ruta crítica y a partir de ahí en un momento determinado pedirán el apoyo de personas voluntarias. Estarán pensando en trabajo en campo que no comprometan la seguridad de la ciudadanía, pero sí sean fundamentales para la restauración de la zona.","Tenamaxtlán, Jalisco",,,https://letrafria.com/ratifican-comision-de-trabajo-para-restaurar-la-sierra-de-quila/
Perforarán pozo en Zapotlán El Grande para garantizar abasto de agua,"La Secretaría de Gestión Integral del Agua (SGIA), con el apoyo de la Comisión Estatal del Agua (CEA) y el gobierno municipal de Zapotlán El Grande, realizarán una obra de perforación de un pozo profundo con el objetivo de garantizar abasto suficiente y constante de agua potable para la población, informaron a través de un comunicado oficial. La inversión de la obra será de 3.7 millones de pesos que aportarán en conjunto el Gobierno del Estado y el municipio, con la idea de que concluir el proceso de perforación para el próximo mes de agosto. La profundidad prevista para este pozo -que estará ubicado en la cabecera municipal- es de 450 metros. “Esta obra tiene como objetivo fortalecer el suministro de agua potable, garantizar el derecho humano al recurso hídrico, y con ello mejorar la calidad de vida de los habitantes, asegurando el abasto constante, suficiente y salubre de agua para consumo doméstico en diversas colonias de la ciudad”, se lee en el comunicado acerca de la obra. Por su parte, Mario López Pérez, titular de la Comisión Estatal del Agua, agregó que tienen buena expectativa para encontrar el flujo de agua necesario para abastecer a la población. “No dudo que tengamos éxito en la perforación del pozo en términos del caudal que vamos a obtener, porque (…) estamos cerca de la zona de recarga”, agregó.","Zapotlán El Grande, Jalisco",,,https://letrafria.com/perforaran-pozo-profundo-en-zapotlan-el-grande-para-garantizar-abasto-de-agua/
Periodistas de a Pie señala uso indebido de su marca,"México.- La Red Periodistas de a Pie emitió un comunicado a través de su página oficial dirigido a la comunidad que los sigue y a la población en general para advertir del uso indebido de su nombre, logo e identidad visual por páginas y perfiles apócrifos.

Acá un fragmento del comunicado:

Hemos detectado la existencia de cuentas en redes sociales y sitios web que utilizan de manera indebida nuestro nombre, logotipo e identidad visual sin autorización. Estas páginas y perfiles apócrifos buscan engañar a los usuarios haciéndose pasar por nuestra organización, lo que puede generar confusión.

Queremos dejar en claro que no tenemos ninguna relación con estas cuentas fraudulentas ni con la información que difunden. Toda comunicación oficial se realiza exclusivamente a través de nuestros canales verificados, los cuales pueden consultarse en nuestro sitio web oficial y en nuestras redes sociales auténticas.

En la publicación original que pueden consultar en este link, vienen incluidas las ligas a las redes oficiales de la Red de Periodistas de a Pie.

En el comunicado también mencionan que están valorando la posibilidad de tomar medidas legales para solicitar la eliminación de los perfiles falsos; así como pidieron también a la población que en caso de llegar a detectar algún perfil falso lo reporten de inmediato a los medios oficiales de la red.

La red de Periodistas de a Pie está conformada por periodistas que hacen trabajo independiente desde sus mediso en distintos puntos del país.",,,,https://letrafria.com/periodistas-de-a-pie-senala-uso-indebido-de-su-marca/
