titulo,fecha,autor,contenido,url,longitud,lugar,fecha_limpia
Desde la madrugada de este martes quedará abierto proceso de precampañas,"Xalapa, Ver. 01/01/2024",Desconocido,"Desde las 00:00 horas de este martes quedará abierto el proceso de precampañas electorales para las y los precandidatos de los partidos políticos registrados a la Gubernatura de Veracruz. Al concluir las precampañas, el registro de los candidatos para Gobernador será ante el Consejo General del Organismo Público Local Electoral del Estado de Veracruz (OPLE) entre el 18 y 27 de marzo. En víspera del inicio de las precampañas y al cierre de los registros, trascendió que el partido Movimiento Ciudadano (MC) postularía a Sergio Gil Rullán, actual dirigente estatal de este grupo político, como el candidato a la gubernatura de Veracruz. Los precandidatos a la Gubernatura de Veracruz registrados son José Francisco Yunes Zorrilla, postulado por la Coalición “Fuerza y Corazón por “Veracruz” integrada por los Partidos Revolucionario Institucional, Acción Nacional y de la Revolución Democrática. Norma Rocío Nahle García, abanderada por la Coalición “Sigamos Haciendo Historia en Veracruz”, conformada por los Partidos Movimiento de Regeneración Nacional, Verde Ecologista de México, del Trabajo y Fuerza por México. Las precampañas para la Gubernatura de Veracruz concluyen a las 24:00 horas del sábado 10 de febrero, por lo que los precandidatos tendrán 40 días naturales para promocionarse entre los militantes de los partidos que los postulan. De acuerdo con el Código Electoral de Veracruz, durante las precampañas queda prohibida la contratación de propaganda en radio y televisión, toda vez que deben estar dirigidas a la militancia de los partidos políticos, no hacia la ciudadanía. El incumplimiento a esta norma dará motivo a que el OPLE, a través de sus órganos competentes y en la oportunidad correspondiente, les niegue el registro como candidatos. De comprobarse la violación a esta disposición en fecha posterior a la postulación del candidato por el partido de que se trate, el Instituto Electoral Veracruzano podrá cancelar el registro legal del infractor. El proceso de precampaña es el conjunto de actos que realizan los partidos políticos, sus militantes y los precandidatos a cargos de elección popular debidamente registrados por cada partido, con el objeto de seleccionar al candidato o candidatos que serán registrados por el partido para la elección de que se trate. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/desde-la-madrugada-de-este-martes-quedara-abierto-proceso-de-precampanias-399791.html,2334,"Xalapa, Ver",2024-01-01
Reportan segundo nacimiento de 2024 en IMSS de Veracruz Puerto,"Veracruz, Ver. 01/01/2024",Desconocido,"El Instituto Mexicano del Seguro Social (IMSS) Veracruz Norte recibió al primer bebé nacido en la representación regional en 2024, en el Hospital General de Zona No. 71, a las 00:30 horas, de este lunes 1° de enero, en la ciudad de Veracruz. Se trata de un bebé de sexo femenino, quien se encuentra en perfectas condiciones de salud, con un peso de 2 mil 900 kilogramos y talla de 48 centímetros; su madre, la señora Yamira Ivonne, también se encuentra en buen estado. Con este nacimiento el IMSS recuerda a todas las mujeres embarazadas la importancia de llevar un adecuado control prenatal, con la finalidad de evitar complicaciones antes, durante y después del parto, que pongan en riesgo su salud o la del bebé. Cabe señalar que las embarazadas deben acudir al servicio de Urgencias más cercano si presentan signos de alerta como: hinchazón de cara, manos o pies, dolor de cabeza constante, zumbido de oídos, contracciones, disminución o ausencia de movimientos fetales y sangrado para recibir la atención médica pertinente. Finalmente, se reitera que el IMSS en Veracruz Norte cuenta con áreas de Urgencias, Atención Médica Continua y hospitalización, en donde se otorga servicio las 24 horas, los 365 días del año, con la finalidad de salvaguardar el bienestar materno-infantil. Dayana, la primer bebé del 2024 en Córdoba Dayana, la primer bebé del 2024 en Córdoba Dayana, es la primer bebé nacida en las primeras horas de este 2024 en el Hospital General de Córdoba. La directora del DIF Municipal, María Elena Yunes Choperena en compañía de la coordinadora de Voluntariado Elizabeth Vela, entregaron una canasta con ropa y diversos productos para el cuidado de la bebé. Alrededor de las 4:5 am se registró el nacimiento de esta pequeña, con un peso de 3,050 kg y quien llevará el nombre de Dayana. La directora del SMDIF felicitó a los papás y entregó el presente a nombre del Dr. Juan Martínez Flores presidente municipal y de la síndica Única Vania López González. En Hospital General de Orizaba del IMSS nace otra bebé a las 5:00 horas En Hospital General de Orizaba del IMSS nace otra bebé a las 5:00 horas El primer bebé nacido en este 2024 en el Hospital General Regional de Orizaba (HGRO) perteneciente al Instituto Mexicano del Seguro Social (IMSS), fue una niña. La pequeña, nació a las 5:00 horas de este 2024, pesando 3 kilogramos, y teniendo una talla de 48 centímetros. Tanto la madre como la menor se reportan en buen estado de salud, este primero de enero del 2024. Es de resaltar que en este hospital diariamente dan a luz un sinnúmero de mujeres, pues es de los nosocomios más grandes con los que cuenta el IMSS en la zona Veracruz Sur. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/reportan-segundo-nacimiento-de-2024-en-imss-de-veracruz-puerto-399785.html,2702,"Veracruz, Ver",2024-01-01
"Seis lesionados en choque entre un taxi y un autobús, en Piletas","Rafael Lucio, Ver. 01/01/2024",Desconocido,"Seis lesionados dejó esta noche el choque entre un taxi de Xalapa y un autobús de pasaje en la carretera federal 140 tramo Xalapa- Las Vigas, a la altura de las curvas de Piletas. En este accidente se vieron involucrados el taxi Nissan número económico XL-4440 de Xalapa y un autobús que cubre la ruta Xalapa- Los Altos. El aparatoso choque sucedió en la carretera federal 140 tramo Xalapa- Las Vigas a la altura del poblado de Piletas, donde uno de los conductores invadió carril contrario provocando que las unidades chocaran de frente. En este accidente el chofer del taxi quedó herido prensado mientras que del autobús unos pasajeros resultaron lesionados. Varios grupos de auxilio como Escuadrón Nacional de Rescate y Comisión Nacional de Emergencia acudieron al llamado de auxilio. Los elementos de Escuadrón Nacional de Rescate se encargaron de liberar al conductor del taxi mientras que los de Comisión Nacional de Emergencia atendieron a los lesionados, algunos de ellos fueron trasladados a hospitales de Xalapa. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/seis-lesionados-en-choque-entre-un-taxi-y-un-autobus-en-piletas-399808.html,1063,"Rafael Lucio, Ver",2024-01-01
Limpian bulevar Manuel Ávila Camacho en Boca del Río,"Boca del Río, Ver. 01/01/2024",Desconocido,"Con el “barrido” sobre el bulevar Manuel Ávila Camacho se acabó la fiesta del primer amanecer del año, dejando la realidad después de que acaban los festejos con basura por toda la plancha, muro y mesas. La Policía Municipal y la dirección de gobernación encabezaron el operativo para retirar a quienes consumían bebidas alcohólicas. Los elementos municipales eran apoyados por la Secretaría de Marina. Botellas, latas, cartón y hasta desechos fisiológicos tuvieron que ser retirados por el personal de Limpia Pública de Boca del Río para dejar como nuevo la plancha del bulevar costero. “Van a lavar la banqueta, mucha gente vino a orinar, tienen que retirarse”, comentaban los elementos a los asistentes. Con agua a presión fueron lavando todo el bulevar. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/limpian-bulevar-manuel-avila-camacho-en-boca-del-rio-399779.html,798,"Boca del Río, Ver",2024-01-01
"Primer día del año despejado con ligero aumento de la temperatura, en Veracruz","Xalapa, Ver. 01/01/2024",Desconocido,"RESUMEN Esta mañana se observa cielo mayormente despejado en gran parte del Estado de Veracruz. El ambiente es fresco a frío durante este amanecer pero esperamos una ligera recuperación de la temperatura diurna aunque sea poco perceptible. Por la tarde es posible la presencia de nieblas en zonas de montaña. SINOPSIS METEOROLÓGICA Un amplio sistema de alta presión sobre el Golfo de México genera en la costa veracruzana que el viento sea de dirección sur, sureste y este, con velocidades moderadas a frescas. Derivado de lo anterior y ciertas características en la atmósfera alta, se prevén condiciones estables con bajo potencial de lluvias y posiblemente algunas nieblas vespertinas en zonas de montaña. No obstante, el ambiente diurno estará incrementando sus valores aunque sea poco perceptible y seguirá dominando fresco a frío por la noche y madrugada, con heladas en las partes altas de zonas serranas. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/primer-dia-del-anio-despejado-con-ligero-aumento-de-la-temperatura-en-veracruz-399778.html,952,"Xalapa, Ver",2024-01-01
"Desde Palenque, AMLO desea que en 2024 no haya ninguna calamidad","Palenque, Chis. 01/01/2024",Desconocido,"Desde la Zona Arqueológica de Palenque, el presidente Andrés Manuel López Obrador deseó que en 2024 no haya ninguna calamidad y adelantó que “el porvenir será de nosotros”. En un video mensaje de Año Nuevo, el jefe del Ejecutivo envió a todos los mexicanos deseos de felicidad. “Estoy en Palenque, aquí amanecí”, señaló al mandatario, quien realizó una caminata al amanecer en el Templo de las Inscripciones. “Eso es lo que más anhelo, que nos vaya bien a todos en este año 2024, que le vaya muy bien a México, que no se sufra por ninguna calamidad y que haya mucha felicidad”, expresó. El presidente López Obrador expresó que el nuevo año, el último de su administración, se deben ver las cosas con alegría y con optimismo. “Porque el porvenir va a ser de nosotros, lo merecemos y creo que estamos bien con la naturaleza y estamos bien con el creador”, añadió. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/desde-palenque-amlo-desea-que-en-2024-no-haya-ninguna-calamidad-399806.html,902,"Palenque, Chis",2024-01-01
Fuerza x México esperará a que MORENA defina aspirantes a diputados locales,"Xalapa, Ver. 01/01/2024",Desconocido,"Luego de la firma del convenio de coalición estatal con MORENA, Partido del Trabajo y Partido Verde, el dirigente estatal del partido Fuerza por México Veracruz, Eduardo Alejandro Vega, indicó que acordarán la distribución de diputaciones locales durante este mes de enero. “Tenemos hasta el 22 de enero para concluir esas mesas de acuerdo, de negociaciones y hoy lo que tenemos en puerta es el 2 de enero que vamos muy contentos con toda nuestra estructura a arropar a una gran mujer”, refirió sobre Rocío Nahle por la gubernatura del Estado de Veracruz. Acerca de qué distritos corresponderán a cada partido, indicó que MORENA se encuentra en el proceso de encuesta de medición de aquellos que registraron; sin embargo, dijo que el proceso de Fuerza por México Veracruz es diferente, pues no lo realizan mediante encuestas, por lo que llegarán a acuerdos una vez que tengan definidos a sus aspirantes. “Posterior a que ellos tengan sus aspirantes definidos nosotros también. Me imagino que Verde y PT es que nos sentaremos entonces a hacer las mediciones, entre ellos cada uno con sus cuadros y ahí definiremos. No es un tema de que yo quiera un distrito porque el dirigente así le convenga o aspire. Es un tema de medición para saber los mejores cuadros y los mejores perfiles”. En este sentido dijo que el partido tiene 16 perfiles mujeres y 14 hombres ya registrados en distritos locales como posibles aspirantes. Sobre el convenio, sostuvo que con ello renuevan la clase política y van por cuadros políticos nuevos, frescos y honestos. “Estamos contentos y motivados, Fuerza por México Veracruz es un partido de las causas de las mujeres y los jóvenes y hoy lo que hemos buscado es que encabezara una mujer y es la primera coincidencia…que es encabezada por una mujer no sólo en Veracruz sino a nivel nacional”. “Estamos contentos y motivados, Fuerza por México Veracruz es un partido de las causas de las mujeres y los jóvenes y hoy lo que hemos buscado es que encabezara una mujer y es la primera coincidencia…que es encabezada por una mujer no sólo en Veracruz sino a nivel nacional”. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/fuerza-x-mexico-esperara-a-que-morena-defina-aspirantes-a-diputados-locales-399789.html,2134,"Xalapa, Ver",2024-01-01
Tiran amparo del Grupo MAS contra auditoría del ORFIS,"Xalapa, Ver. 01/02/2024",Desconocido,"El Órgano de Fiscalización Superior (ORFIS) ganó la batalla jurídica al Grupo Metropolitano de Agua y Saneamiento S.A.P.I. de C.V. (Grupo MAS), toda vez que el Primer Tribunal Colegiado en materia Administrativa del Séptimo Circuito, con residencia en la ciudad de Boca de Boca, resolvió que la auditoría practicada al concesionario del servicio de agua potable, ahora sólo en el puerto de Veracruz, es legal y constitucional. El órgano jurisdiccional resolvió el juicio de amparo 692/2022 promovido por el Grupo MAS en contra de la auditoría practicada por el ORFIS por instrucción el Congreso del Estado. El concesionario argumentó la ilegalidad e inconstitucional de la auditoría, pues no ejerce recursos públicos. En la sentencia se argumenta que el Grupo MAS recauda o cobra recursos públicos municipales, por lo que se considera un ente fiscalizable y no se advierte que opere recursos estrictamente particulares o privados. Sin embargo, con relación al exhorto del Congreso del Estado para realizar la auditoría, la justicia federal concluyó que no tiene consecuencias jurídicas sancionatorias, en tanto no se defina el ejercicio de rendición de cuentas que prevé el orden constitucional. Sin embargo, con relación al exhorto del Congreso del Estado para realizar la auditoría, la justicia federal concluyó que no tiene consecuencias jurídicas sancionatorias, en tanto no se defina el ejercicio de rendición de cuentas que prevé el orden constitucional. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/tiran-amparo-del-grupo-mas-contra-auditoria-del-orfis-401294.html,1501,"Xalapa, Ver",2024-01-02
Avala OPLE convenios de coaliciones para elección de diputados locales,"Xalapa, Ver. 01/02/2024",Desconocido,"El Consejo General del Organismo Público Local Electoral (OPLE), en sesión extraordinaria, validó la procedencia de los convenios de coalición “Fuerza y Corazón por Veracruz”, integrada por PAN, PRI y PRD; y la de “Sigamos Haciendo Historia en Veracruz” conformada por MORENA, PT y PVEM, para la elección de diputados en este proceso electoral local 2023-2024. El convenio de coalición total de “Fuerza y Corazón por Veracruz” señala que, de los 30 distritos electorales, al PAN le corresponde postular candidatos en 19 distritos, al PRI en 7 y al PRD en 4. Mientras que el convenio de coalición parcial “Sigamos Haciendo Historia en Veracruz” definió que MORENA postulará candidatos en 20 distrito, PT en 4 y PVEM en 4, los dos distritos restantes los definirá la Comisión Coordinadora de la Coalición. Convenio de coalición “Fuerza y Corazón por Veracruz” Convenio de coalición “Fuerza y Corazón por Veracruz” El Partido Acción Nacional (PAN) postulará candidatos en los distritos de Pánuco, Tantoyuca, Tuxpan, Álamo, Poza Rica, Misantla, Perote, Xalapa I, Emiliano Zapata, Veracruz I y II, Boca del Río, Alvarado, Córdoba, Cosamaloapan, San Andrés Tuxtla, Acayucan, Minatitlán y Coatzacoalcos II. El Partido Revolucionario Institucional (PRI) postulará candidatos en Xalapa II, Coatepec, Huatusco, Orizaba, Zongolica, Cosoleacaque y Coatzacoalcos I. Y el Partido de la Revolución Democrática (PRD) postulará candidatos en los distritos de Papantla, Martínez de la Torre, Río Blanco y Santiago Tuxtla. El convenio compromete a los partidos que integran la coalición a respetar el principio de paridad de género y por ello, el PAN, de los 19 distritos encabezará las candidaturas a diputados locales, postulará 10 fórmulas del género femenino y 9 fórmulas del género masculino. El PRI, de los 7 distritos que le corresponden, postulará 3 fórmulas del género femenino y 4 fórmulas del género masculino; y el PRD postulará 2 fórmulas del género femenino y 2 fórmulas del género masculino. Respecto a las acciones afirmativas a favor de personas indígenas, jóvenes, comunidad LGBTTTIQA+ y con discapacidad, el PAN debe postular una candidatura en el distrito de Tantoyuca, el PRI en Zongolica y PRD en Papantla. Convenio de Coalición “Sigamos Haciendo Historia en Veracruz” Convenio de Coalición “Sigamos Haciendo Historia en Veracruz” De acuerdo con el convenio de coalición registrado aprobado por el OPLE, el partido MORENA postulará candidatos en: Tantoyuca, Tuxpan, Álamo, Poza Rica, Papantla, Martínez de la Torre, Perote, Xalapa I y II, Emiliano Zapata, Veracruz I, Córdoba, Orizaba, Cosamaloapan, Santiago Tuxtla, San Andrés Tuxtla, Cosoleacaque, Minatitlán y Coatzacoalcos I y II. El PVEM postulará candidatos en los distritos de Alvarado, Huatusco, Río Blanco y Acayucan; y al PT en Misantla, Coatepec, Veracruz II y Zongolica. Las candidaturas de diputados locales por los distritos de Pánuco y Boca del Río serán definidos por definirá la Comisión Coordinadora de la Coalición. También se acordó que MORENA aportará el 20% de sus prerrogativas y el 20% de su financiamiento para gastos de campaña; PT el 15% de sus prerrogativas y 15% de su financiamiento para gastos de campaña; y el PVEM el 5% de sus prerrogativas y aportará el 10% de su financiamiento para gasto de campaña. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/avala-ople-convenios-de-coaliciones-para-eleccion-de-diputados-locales-401341.html,3329,"Xalapa, Ver",2024-01-02
"Volverán a sonar las campanas de camiones de basura, en Coatzacoalcos",Coatzacoalcos. Ver. 01/02/2024,Desconocido,"Después de 4 años de ausencia, los campaneros volverán a anunciar el paso de los camiones recolectores de basura en las colonias de Coatzacoalcos, a partir de febrero de 2024, así lo confirmó el director de Limpia Pública, Teodoro Nolasco Román, quien explicó que se contratará al menos a 31 personas para esta labor. “De hecho el Alcalde nos autorizó ya la contratación de 31 campaneros, pienso que para mediados de febrero se tenga ya todo listo y se van a meter en todas las rutas”, dijo Nolasco Román. Agregó que los campaneros también tendrán que apoyar en la limpieza de las calles una vez que terminen de campanear durante 2 o 3 horas. “No, son de confianza o sindicalizados, no hay problema por eso. Simplemente que los que contratemos van a tener doble trabajo”, aseveró. Los campaneros dejaron de trabajar desde que inició la pandemia de Coronavirus en 2020 debido a las medidas sanitarias y de prevención. Ahora, con el regreso de esta figura se espera que la población colabore y saque sus desechos sólo cuando la escuche la campana. Los campaneros dejaron de trabajar desde que inició la pandemia de Coronavirus en 2020 debido a las medidas sanitarias y de prevención. Ahora, con el regreso de esta figura se espera que la población colabore y saque sus desechos sólo cuando la escuche la campana. Fin Texto de la nota Fin area de la nota",https://www.alcalorpolitico.com/informacion/volveran-a-sonar-las-campanas-de-camiones-de-basura-en-coatzacoalcos-401300.html,1351,Coatzacoalcos. Ver,2024-01-02
