titulo,fecha,articulo,url,lugar,fecha_limpia
Atento aviso a nuestros lectores,"Xalapa, Ver. 02/05/2008","Es comprensible que en muchos casos, las personas no desean que su nombre aparezca en su denuncia por temor a represalias, sobre todo laborales, pero, como han existido tres ocasiones en que aparentemente, alguien tomó el nombre de otra persona para formular su denuncia pública, este medio de comunicación solicita que cualquier denuncia, sobre todo en las que se nos pida omitir la identidad del autor, deberán anexar un número telefónico fijo para que se les llame y se verifique la autoría.",https://www.alcalorpolitico.com/informacion/Atento-aviso-a-nuestros-lectores-21874.html,"Xalapa, Ver",02/05/2008
Te invitamos a compartir el libro que leíste,"Xalapa, Ver. 05/08/2019","Te invitamos a seguir participando en la sección literaria de alcalorpolitico.com, donde aquellos que disfrutan de la lectura de libros de cualquier género literario, temática y estilo pueden compartir su experiencia con descripciones sencillas, lenguaje claro y sin exigencias literarias, a fin de exponer lo que les gustó, lo que se les hizo atractivo o les impactó de un libro, para así animar a otras personas a retomar esas lecturas. alcalorpolitico.com, [email protected]",https://www.alcalorpolitico.com/informacion/noticias.php?idnota=294805,"Xalapa, Ver",05/08/2019
Tour por las mejores cafeterías,09/02/2024,"acompáñame a mi si si sí Wachisneris en este tour por las mejores cafeterías. Me recomendaron probar los baguettes y frappés de Café con Pan, ubicado en Altamirano #73 en el centro de Xalapa. ¿Me acompañas? #Iraaa",https://www.alcalorpolitico.com/informacion/noticias.php?idnota=401694,,09/02/2024
"Menor que aprendía a manejar atropelló y mató a su madre, en Coatzacoalcos","Coatzacoalcos, Ver. 16/04/2025","Una menor de edad atropelló y mató por accidente a su propia madre en la colonia Adolfo López Mateos, ubicada al sur de Coatzacoalcos. Los hechos ocurrieron cerca del mediodía de este miércoles, en la calle Pípila, entre Río Tuxpan y Adolfo Ruiz Cortines, donde la víctima, identificada como Marina, fue arrollada y proyectada contra otro vehículo al interior del patio de su vivienda, cuando su hija intentaba maniobrar un automóvil para sacarlo. De acuerdo con los primeros reportes, la menor apenas aprendía a conducir, lo que derivó en el trágico accidente. Elementos de la Secretaría de Seguridad Pública (SSP) acudieron como primeros respondientes y posteriormente arribaron paramédicos al sitio, quienes ya no pudieron hacer nada para salvarle la vida a la mujer. Más tarde, elementos de Servicios Periciales y personal de una funeraria realizaron el levantamiento del cuerpo y recabaron los indicios correspondientes para integrar la carpeta de investigación.",https://www.alcalorpolitico.com/informacion/menor-que-aprendia-a-manejar-atropello-y-mato-a-su-madre-en-coatzacoalcos-423641.html,"Coatzacoalcos, Ver",16/04/2025
No era tornado: “Embudo de nube” sorprendió en Lerdo de Tejada,"Xalapa, Ver. 16/04/2025","La tarde de este miércoles, usuarios de redes sociales reportaron un supuesto tornado en el municipio de Lerdo de Tejada. No obstante, la ocurrencia de este fenómeno fue descartado por la jefa del Proyecto de Hidrometeorología del Organismo de Cuenca Golfo Centro de la Comisión Nacional del Agua (CONAGUA), Jéssica Luna Lagunes. La especialista explicó que lo observado corresponde a un “embudo de nube”, una columna de aire giratoria que desciende desde una nube de tormenta, pero que no llega a tocar el suelo, por lo que no puede ser clasificado como tornado. “Muchos lo han llamado ‘tornado’, pero en realidad no lo es. Lo que se observa en las imágenes es un embudo de nube, una columna de aire giratoria que se extiende desde una nube de tormenta, pero que no llegó a tocar el suelo”, dijo. Luna Lagunes explicó que únicamente cuando este tipo de embudos tocan tierra y generan remolinos o causan daños, es cuando se les considera tornados. “Aunque el embudo puede parecer un tornado, no representa el mismo nivel de riesgo. Aun así, es una señal de inestabilidad atmosférica”, puntualizó.",https://www.alcalorpolitico.com/informacion/no-era-tornado-embudo-de-nube-sorprendio-en-lerdo-de-tejada-423643.html,"Xalapa, Ver",16/04/2025
"No naden en canales de riego, presas, lagos o ríos, pide CONAGUA",Ciudad de México. 16/04/2025,"La Comisión Nacional del Agua (CONAGUA) hace un llamado a la población para abstenerse de utilizar los cuerpos de agua nacionales como balnearios o albercas públicas, principalmente por razones de seguridad. Refirió que en la mayoría de ríos, lagos, lagunas, presas y canales de riego se presentan fuertes corrientes de agua y desniveles continuos o socavones, por lo que nadar en esos cuerpos de agua es riesgoso para la población, particularmente para los menores de edad. Además, las bajas temperaturas pueden provocar calambres en piernas y brazos. En tanto, la presencia de lodos puede impedir los movimientos y llegar incluso a atrapar a las personas. Por ello, especialmente durante el periodo conocido como Semana Santa es fundamental que la población extreme precauciones, sobre todo en el cuidado de menores de edad. Mediante sus brigadas, la CONAGUA se coordina de manera permanente con los sistemas de Protección Civil, tanto a nivel federal como estatal, con el fin de colaborar con las diversas instituciones de los 3 órdenes de gobierno en la implementación de medidas preventivas que reduzcan los riesgos para la población, en torno a esos cuerpos de agua. Sin embargo, la participación de todas las personas es fundamental para preservar la seguridad y la vida propia y de los demás. En este periodo vacacional, la seguridad es responsabilidad de todos, por lo que, como se establece en el Acuerdo Nacional por el Derecho Humano al Agua y la Sustentabilidad, la CONAGUA ratifica su compromiso de colaborar con el sector público, privado y social para realizar mejoras en los entornos locales, particularmente donde existen cuerpos de agua utilizados para la gestión de los recursos hídricos nacionales.",https://www.alcalorpolitico.com/informacion/no-naden-en-canales-de-riego-presas-lagos-o-rios-pide-conagua-423627.html,Ciudad de México,16/04/2025
"Con compra emergente, Federación surtirá medicamentos oncológicos a estados","Xalapa, Ver. 16/04/2025","La presidenta Claudia Sheinbaum afirmó que su administración está agilizando la compra de medicamentos oncológicos para surtir a los estados, luego de que la Secretaría Anticorrupción anuló el proceso de licitación tras detectar sobrecostos de BIRMEX por 13 mil millones de pesos en el 6 por ciento de las claves licitadas. Este miércoles la Presidenta fue cuestionada por acciones como la que implementó la gobernadora de Veracruz, Rocío Nahle, quien anunció que se buscarán adquirir medicamentos mientras se resuelve el problema que ocasionó BIRMEX, empresa estatal encargada de la adquisición a nivel federal. Sheinbaum Pardo afirmó que su Gobierno estará en contacto con los gobiernos estatales como el de Veracruz, destacando que se implementará una subasta inversa que permitirá revertir los sobrecostos y abastecer los medicamentos con una compra emergente. “Hay un abastecimiento de medicamentos oncológicos y hay algunos que quedaron en este marco de la resolución de la Secretaría Anticorrupción. Desde la semana pasada autoricé una compra emergente, que se va a hacer a través de la subasta inversa y ya se están adquiriendo para poderlos enviar. “De hecho, antier fue la notificación de que es factible hacerlo. Se publica la investigación de mercado y de inmediato viene la subasta inversa, que es para algunos medicamentos oncológicos. Entonces hay que estar en contacto con los gobernadores para que conozcan qué se están atendiendo, particularmente sobre estos medicamentos que evidentemente son de una urgencia importante”, añadió. La mandataria federal aseguró que la subasta inversa permitirá reducir el costo de la adquisición de algunos medicamentos a la mitad de lo que se proyectaba por BIRMEX antes de cancelar la compra consolidada. “Por ejemplo, hay medicamentos que en la licitación había salido en 38 mil pesos, que con la subasta inversa que ya inició –ayer me informaron– se redujo a más de la mitad el mismo medicamento. “Entonces tuvo razón la Secretaría Anticorrupción de haber suspendido y al mismo tiempo esta compra emergente para estos, creo que son 4 medicamentos oncológicos”, agregó Claudia Sheinbaum. Cabe mencionar que esta semana la gobernadora Rocío Nahle informó que se reunió con autoridades del Sector Salud para coordinar la compra de medicamentos oncológicos necesarios en el Centro Estatal de Cancerología (CECAN) “Dr. Miguel Dorantes Mesa”, con el fin de garantizar su abasto durante los meses de abril y mayo. Lo anterior debido a que el plan de compra consolidada de medicamentos del Gobierno Federal fue cancelado, a partir de que la Secretaría Anticorrupción anuló el proceso por detectar sobrecostos de 13 mil millones de pesos en el 6 por ciento de las claves licitadas. La dependencia ordenó a BIRMEX reiniciar desde cero el procedimiento y entregar documentación antes del 21 de abril. Según la Secretaría Anticorrupción las anomalías detectadas incluyeron omisiones en los requisitos de la convocatoria y exigencias fiscales improcedentes, lo que, según autoridades, afectó la legalidad del proceso.",https://www.alcalorpolitico.com/informacion/con-compra-emergente-federacion-surtira-medicamentos-oncologicos-a-estados-423619.html,"Xalapa, Ver",16/04/2025
En Orizaba buscan inhibir peleas de jóvenes para “retos virales”,"Orizaba, Ver. 17/04/2025","Con el propósito de evitar que los jóvenes hagan retos de peleas para obtener más likes en las redes, a partir de las 21:00 horas no podrán estar en los parques en grupos, advirtió el coordinador de la Policía Municipal de Orizaba, Mauricio Sosa García. Hace algunos días se conoció de conatos de pelea entre estudiantes de algunas escuelas y el caso más reciente fue en el Parque de la Alameda, en donde adolescentes y jóvenes obedeciendo a un reto viral se estaban grabando pelándose para obtener “me gusta”, en las redes sociales. Por ello es que las autoridades policiacas informaron que en la Alameda, de lo que se trató fue de esos famosos llamados videos de retos virales, donde el objetivo era conseguir seguidores. “Por eso es que restringimos un poco más, después de las 9 de la noche ya no permitimos acercamiento o grupo de jóvenes en ese punto, para evitar que sigan con esa ambición de poder ganar popularidad en redes sociales”. De igual forma destacó que los videos que se filtraron de lo ocurrido en la Alameda, fue un grupo grabándose y echándose entre ellos mismos porras. “Y entre más golpes se daban, más se emocionaban, pero es lamentable esto”. Aunque también indicó que es obligatorio que los padres de familia estén al pendiente de sus hijos. Comentó que los puntos de mayor concentración como son los parques, es donde se va a prohibir que estén en grupo o realizando esta actividad viral. “Estaremos restringiendo esto y estaremos muy activos también vigilando a los jóvenes que quieren debilitar las infraestructuras con los grafitis”. De primera mano habrá un apercibimiento severo para quien sea sorprendido grafiteando, pero también se hará lo propio con el padre de familia. Y en dado caso que sus hijos sean reincidentes, entonces se les castigará con una sanción económica. “No queremos ser coercitivos e imperativos sino que apelamos a la conciencia. Pero muchas de las veces hay que (aplicar) sanciones para que los jóvenes también comprendan que no se debe hacer tal o cual acción y no se trata de que los jóvenes no estén en los parques, sino que no hagan estos retos virales de daño a sí mismos”.",https://www.alcalorpolitico.com/informacion/en-orizaba-buscan-inhibir-peleas-de-jovenes-de-retos-virales--423677.html,"Orizaba, Ver",17/04/2025
"Estos días santos, piden a católicos tomar precauciones ante altas temperaturas","Xalapa, Ver. 17/04/2025","La jefa del Proyecto de Hidrometeorología del Organismo de Cuenca Golfo Centro de la Comisión Nacional del Agua (CONAGUA), Jéssica Luna Lagunes, pidió a la población tomar precauciones al momento de participar en las procesiones con motivo de la Semana Santa. Previo a las conmemoraciones del Jueves y Viernes Santo, así como del Sábado de Gloria, la especialista recordó que se prevén temperaturas altas a muy altas durante los próximos días. “Pues aquí hay que estar muy pendiente de niños, personas adultas mayores, favor de llevar agua, suficiente agua, alguna gorra, algún sombrero, cachucha, alguna sombrilla para protegernos de los rayos del sol”, dijo. Luna Lagunes recalcó que estas condiciones de calor extremo prevalecerán durante el sábado y domingo, por lo que también pidió a las familias evitar el dispendio del agua. “Hay que hacer un uso eficiente del agua por la temporada vacacional y a veces es muy común que tiremos el agua y es importante que hagamos un buen uso de este vital líquido”, llamó.",https://www.alcalorpolitico.com/informacion/estos-dias-santos-piden-a-catolicos-tomar-precauciones-ante-altas-temperaturas-423692.html,"Xalapa, Ver",17/04/2025
Hallaron cadáver semicalcinado en cañales de Ixtaczoquitlán,"Ixtaczoquitlán, Ver. 17/04/2025","Semicalcinado fue hallado el cadáver de un hombre en terrenos de cañales del municipio de Ixtaczoquitlán, cuya identidad permanece en calidad de desconocido. Se espera que el cadáver sea identificado por familiares, o en su defecto, la Fiscalía solicitará las pruebas de ADN correspondientes.",https://www.alcalorpolitico.com/informacion/hallaron-cadaver-semicalcinado-en-caniales-de-ixtaczoquitlan-423718.html,"Ixtaczoquitlán, Ver",17/04/2025
