url,titulo,articulo,fecha,autor
https://plumaslibres.com.mx/2025/03/20/victima-de-violencia-condenada-por-secuestro-el-caso-que-expone-la-falta-de-justicia-con-perspectiva-de-genero/,"Víctima de violencia, condenada por secuestro: el caso que expone la falta de justicia con perspectiva de género","Veracruz, Ver. En México, la justicia sigue fallando a las mujeres víctimas de violencia. Un caso alarmante es el deJ.G.P.V.,una joven madre que, en lugar de ser reconocida como víctima de privación ilegal de la libertad y maltrato, fue condenada por un delito que no cometió: secuestro.
El próximo 26 de marzo, laQuinta Sala Penal de Veracruz, en el expedienteTOCA 617/2024, tiene la oportunidad de corregir esta injusticia. Sin pruebas que la incriminen, con testigos que no la reconocen y con evidencias obtenidas de manera sospechosa, su condena refleja un sistema que criminaliza a las mujeres en lugar de protegerlas. J.G.P.V. vivía una relación marcada por la violencia. Cuando intentó separarse, su pareja la retuvo en contra de su voluntad, le quitó su credencial de elector (INE) y la mantuvo bajo su control.
Desesperada, logró escapar sin documentos. Pero su captor la encontró antes de que pudiera pedir ayuda. Minutos después, la policía detuvo el vehículo en el que ambos viajaban, junto con otras personas, acusándolos a todos de secuestro. La única “prueba” contra ella fue la credencial de elector que su agresor le había arrebatado meses atrás. Sin embargo, la policía la“encontró” cinco meses después de la detención, en un proceso que apunta a la fabricación de pruebas para justificar su condena.
No hay víctimas que la señalen. No hay evidencias que la incriminen. No hay razones para que esté tras las rejas. Desde su detención, J.G.P.V. ha permanecido en la misma prisión que su agresor, lo que la ha mantenido en silencio por miedo a represalias. Ha sido amenazada constantemente y, hace tres meses, dio a luz en la cárcel, donde ahora permanece con su bebé.
Este caso no solo evidencia la falta de perspectiva de género en el sistema judicial, sino también la ausencia de una investigación real. La justicia de Veracruz parece seguir una línea en la que todos los detenidos por secuestro son condenados sin analizar sus circunstancias, sin importar si entre ellos hay víctimas.
La Quinta Sala Penal de Veracruz, a cargo del expediente TOCA 617/2024, tiene la posibilidad de anular una sentencia basada en irregularidades y falta de pruebas. Si se aplicara una perspectiva de género real, J.G.P.V. sería reconocida como lo que es: una víctima de violencia, no una criminal. El 26 de marzo no solo se definirá el destino deJ.G.P.V. y su hijo, sino también la credibilidad del sistema judicial del estado, donde debe ser contundente que nunca más una víctima debe ser condenada sin investigar su historia.",20-Mar-25,"Veracruz, Ver. En México, la justicia sigue fallando a las mujeres víctimas de violencia. Un caso alarmante es el deJ.G.P.V.,una joven madre que, en lugar de ser reconocida como víctima de privación ilegal de la libertad y maltrato, fue condenada por un delito que no cometió: secuestro."
https://plumaslibres.com.mx/2025/02/25/union-de-sindicatos-se-oponen-a-entrega-de-plazas-y-afectan-a-mas-de-500-maestros/,Unión de sindicatos se oponen a entrega de plazas y afectan a más de 500 maestros,"Paco De Luna /
Xalapa, Ver.-Debido a la toma de oficinas de laSecretaría de Educación de Veracruz(SEV), por parte deocho sindicatos magisteriales, al menos540 aspirantes a una plazadocente se vieron afectados.
Y es que este martes 25 de febrero se llevaría a cabo el registro de aspirantes al ingreso de promoción a educación media superior, por lo que fueron citados 540 aspirantes provenientes del todo el Estado,al gimnasio Omega, incluso de otras entidades que hicieron gastos para poder estar puntualmente.
Neyra Arleth Bautista Mayorga, titular de USICAMM Veracruz, lamentó que por los intereses de unos cuantos afecten a cientos de personas que buscan una plaza de manera legal.
Dijo que no podía decir abiertamente que los líderes sindicales impidieron el registro para no perder las plazas para sus familias, «pero algo de eso hay en toda esta asignación de plazas».
“Vienen a registrarse para presentar el examen. El registro tiene que ser de manera presencial, no es en línea porque tenemos que hacer la verificación de sus documentos. Estamos en espera, sí están molestos los compañeros porque para ellos significa un gasto, tiempo, permiso en sus trabajos y muchos de ellos ya tienen boleto de regreso«, comentó.
Indicó que cada registro iba a tomar entre 15 y 30 minutos, todo iba a depender de los documentos que entregaran cada uno de los aspirantes.
La también titular de la Unidad de Planeación de la SEV, explicó que la idea de que acudieran al gimnasio Omega era porque ahí instalaron cien computadoras enlazadas en red que estarían conectadas a las oficinas centrales de la Ciudad de México, para hacer su registro.
La funcionaria pública pidió a los sindicatos ser respetuosos de las leyes, de las normas y refirió que la titular de la Secretaría les instruyó hacer estos procesos de forma transparente. «Que todas las vacancias que haya sea a través de estos procesos, que no haya ningún tipo de desvío de estas claves de plaza, para que todos los que aspiren tengan la misma oportunidad”.
*TECA confirma ilegal la toma de oficinas de la SEV* Sostuvo que muchas veces como maestros llegan de buena fe, pensando que están defendiendo algún derecho, pero solamente son utilizados. «Yo creo que todos como maestros, yo también soy maestra, valoremos y nos cuestionemos cuál es el fondo que hacen nuestros líderes sindicales», opinó.
La abogada del Jurídico de la Secretaría de Educación de Veracruz (SEV), Gabriela Mayans, advirtió a los trabajadores que tomaron diversas oficinas de la dependencia están incurriendo en una ilegalidad. Acompañada del notario público número 32, FranciscoJoaquín Naredo Galindo,notificó esta mañana a los trabajadores de la dependencia que no tenían permitido la toma de las instalaciones delTelebachillerato de Veracruz(TEBAEV) ubicado en la calle Jamapa esquina con avenida Murillo Vidal. La abogada les explicó a los agremiados de los distintos sindicatos que se mantienen en protesta desde este lunes, que se les informó a sus líderes sindicales que no podían tomar este tipo de acciones. «Nada más para decirles que están en una ilegalidad porque el Tribunal Estatal de Conciliación y Arbitraje(TECA) les negó́ que tomaran instituciones públicas», expuso.
La base trabajadora le respondió́ que la notificación debía hacerla a los secretarios generales que mantienen tomadas las oficinas centrales de la SEV.«Mi deber es decirles que están incurriendo en una ilegalidad porque están tomando una institución pública en donde el acuerdo del TECA se los negó́«, indicó.Gabriela Mayansaseguró que los líderes sindicales solicitaron al tribunal hacer la toma de las diversas instalaciones de la dependencia.
Para ello el Tribunal solicita ciertas cosas, sin embargo, sostuvo que los sindicatos no cumplieron con lo que les solicitó el colegiado.
Por lo que después de notificar legalmente a través del fedatario público, ahora corresponderá a la Secretaría decidir cuáles serán las acciones que emprenderán. Aseveró que harán la respectiva notificación en cada una de las dependencias que tomen de forma ilegal los trabajadores de la educación. Finalmente, dijo que de la misma manera se les notificó ayer lunes a los secretarios generales que estaban incurriendo en una ilegalidad al tomar las oficinas centrales de la dependencia estatal.",25-Feb-25,Paco De Luna /
https://plumaslibres.com.mx/2025/04/11/fracasa-alcalde-morenista-de-rio-blanco-en-la-construccion-del-paso-a-desnivel/,"Fracasa alcalde morenista de Río Blanco Ricardo Pérez, en la construcción del paso a desnivel","Por Efraín Hernández/
Río Blanco.- La cancelación delPaso Superior Ferroviarioentre las coloniasRicardo Flores Magón y Modelono es un hecho aislado, sino el reflejo de una administración marcada por la ineficiencia, la simulación y la falta de resultados.
El presidente municipalRicardo Pérez Garcíacierra su gobierno de la misma forma en que lo condujo: con promesas sin cumplir, gestiones a medias y una desconexióntotal con las verdaderas necesidades de la población.
Desde el arranque de su administración, el mandatario municipal se dedicó más a justificar sus limitaciones que a resolver los problemas de fondo.
El caso del puente a desnivel, que habría resuelto uno de los conflictos viales más graves deRío Blanco,evidencia su incapacidad para concretar obras estratégicas.
Ni siquiera logró avanzar con un proyecto ejecutivo que le permitiera gestionar recursos federales con seriedad. El edil ahora se escuda en la falta de respaldo de la diputación federal y en los tiempos burocráticos, pero lo cierto es que en casi cuatro años no fue capaz de estructurar una propuesta sólida.
Lo que hoy presenta como “gestiones” no pasan de reuniones y fotografías, sin ningún impacto tangible para la ciudadanía. Así, el puente prometido termina como otro símbolo del rezago que dejó su paso por el gobierno. La molestia entre los habitantes es más que comprensible: no solo se les negó una solución urgente, sino que se sienten burlados por una administración que nunca estuvo a la altura.
La caída del proyecto del puente es solo la última prueba deun gobierno local que se va por la puerta de atrás, cargando el peso de su propio fracaso.
Cabe recordar que Ricardo Pérez García es primo del ex secretario de la SEV Zenyazen Escobar García que sigue imponiendo alcaldes en la región de Córdoba, mismos que le reporran fuertes ganancias en negocios a través de obras públicas y adquisición y compra de propiedades.",11 Abr 25,Efraín Hernández/
https://plumaslibres.com.mx/2025/03/08/colocan-corazon-con-listones-morados-en-el-zocalo-de-veracruz-por-el-8m/,Colocan corazón con listones morados en el Zócalo de Veracruz por el 8M,"Luis Ortiz
En el Zócalo de la ciudad de Veracruz fue instalada una estructura en forma de corazón con listones morados, en conmemoración del Día Internacional de la Mujer. Este espacio simbólico permite a las personas plasmar mensajes alusivos a la lucha por los derechos de las mujeres y la erradicación de la violencia de género.
Ubicado a un costado del Palacio Municipal, sobre el corredor Zamora, el corazón se ha convertido en un punto de expresión y reflexión. Quienes deseen participar pueden escribir sus mensajes en los listones, y si no llevan marcador, pueden solicitar uno a los jóvenes del Ayuntamiento de Veracruz, quienes se encuentran en el sitio.
La iniciativa forma parte de las actividades organizadas en apoyo a los movimientos feministas que buscan visibilizar la lucha contra la violencia de género y generar conciencia en la sociedad. El objetivo es fomentar la reflexión, el respaldo hacia las mujeres y motivar a quienes se acerquen a dejar un mensaje.
Algunas de las frases que pueden leerse en los listones son: “No estás sola”, “Justicia”, “Nos queremos vivas y libres”, “Nunca te rindas” y “Resiliencia”, entre muchas otras.
Quienes deseen sumarse a esta iniciativa podrán hacerlo también el domingo en el mismo sitio, en horario de 9:00 a 20:00 horas.",8-Mar-25,Luis Ortiz
https://plumaslibres.com.mx/2025/02/10/masacre-en-cdmx-matan-a-5-en-tlahuac-violencia-imparable/,"Masacre en CDMX matan a 5 en Tláhuac, violencia imparable","Cdmx.- Tres hombres y dos mujeres fueron asesinados con ráfagas de fusil de alto poder en el pueblo de San Miguel Mixquic donde la violencia se recrudece ya que a este multihomicidio se suman otros cuatro ejecutados en los límites entre Chalco y Tláhuac en menos de 48 horas. En medio de este ataque un hombre más resultó herido tras la lluvia de plomo ocurrida en la calle Independencia entre Abasolo y Reyna Xóchitl, del Pueblo San Miguel Mixquic, de la alcaldía Tláhuac.Según vecinos del lugar las seis víctimas del ataque habían estado bebiendo y divirtiéndose en el cierre del carnaval de San Francisco Tlaltenco perteneciente a esa misma alcaldía.
Al rededor de media noche decidieron dejar el carnaval y regresar a San Andrés Mixquic llegando a la calle Independencia a bordo de dos automóviles compactos uno negro y uno blanco mismos que estacionaron entre las calles Abasolo y Reyna Xóchitl descendieron de las unidades para seguir la fiesta.
Tras horas y media de permanecer bebiendo en la vía pública, llegó hasta donde se encontraban una camioneta color blanco misma de la bajaron tres hombre armados y sin mediar palabra abrieron fuego contra sus víctimas.
Según cuentan los habitantes del Pueblo de San Nicolás Tetelco otro de los pueblos originarios de Tláhuac colindante con San Andrés Mixquic, las ráfagas de disparos se escucharon hasta ese lugar, así lo relata doña Carmen.
“Yo vivo en Tetelco y hasta allá se escucharon las ráfagas de disparos, fueron muy largas, hasta pensamos que la balacera había sido allá, las cosas están terribles por acá incluso esta circulando una advertencia en la que decían que esto iba a suceder” aseguró la mujer que llevaba a su nieto al jardín de niños y tuvo que cruzar frente al lugar del homicidio.
La “Prensa” corroboró lo dicho por la Sra. Carmen ya que en redes sociales de grupos de habitantes de Mixquic y Tetelco circula una advertencia de una limpia en la que imponen un especie de toque de queda.
Se recrudece la violencia en la zonaLa violencia en la zona comprendida entre los límites de la alcaldía Tláhuac en la Ciudad de México y valle de Chalco se han recrudecido en los últimos dos años y para muestra los homicidios ocurridos en estos dos lugares en menos de 48 horas.
Los cinco asesinados a balazos en Mixquic se suman los cuatro ejecutados a balazos que aparecieron la madrugada del viernes en el pueblo de San juan Tezompa, municipio de Chalco en el Estado de México cuyo límite está compartido con la alcaldía Tláhuac.
Estos cuatro ejecutados aparecieron en cuatro calles distintas de esa localidad en un radio no mayor a 800 metros sin que hasta el momento se tenga algún dato sobre el móvil de los asesinatos, ni personas detenidas por estos hechos.",10-Feb-25,"Cdmx.- Tres hombres y dos mujeres fueron asesinados con ráfagas de fusil de alto poder en el pueblo de San Miguel Mixquic donde la violencia se recrudece ya que a este multihomicidio se suman otros cuatro ejecutados en los límites entre Chalco y Tláhuac en menos de 48 horas. En medio de este ataque un hombre más resultó herido tras la lluvia de plomo ocurrida en la calle Independencia entre Abasolo y Reyna Xóchitl, del Pueblo San Miguel Mixquic, de la alcaldía Tláhuac.Según vecinos del lugar las seis víctimas del ataque habían estado bebiendo y divirtiéndose en el cierre del carnaval de San Francisco Tlaltenco perteneciente a esa misma alcaldía."
https://plumaslibres.com.mx/2025/03/20/morena-miente-todo-el-tiempo-pri-unico-partido-de-verdadera-oposicion-afirma-el-dirigente-estatal/,Morena miente todo el tiempo según dirigente de lo que queda del PRI,"Nicolás Cruz Hernández
Xalapa, Ver., 20 marzo 2025.- “Morena miente, cuando dijo que iba a costar la gasolina 10 pesos, hoy ya está cerca de los 30 pesos, miente cuan dijo que el sistema de salud iba ser mejor que el de Dinamarca y hoy, no dicen nada, no hay medicinas, no hay médicos, hay un pésimo sistema de salud, que acaso es sólo en campaña, miente cuando dijo que los mexicanos íbamos a vivir con seguridad y los veracruzanos también., hoy las carreteras de Veracruz, son las más inseguras del país”.
Así lo manifestó en conferencia de prensa el dirigente estatal del PRI Adolfo Ramírez Arana, Hoy, hay que recordarle a ella y a la Gobernadora que en esos campos de exterminio se encontraron credenciales de elector y pertenencias de 6 veracruzanos, lo que nos indigna a los veracruzanos. Vemos un Gobierno que no tiene respuesta alguna. MORENA miente todo el tiempo y no se ven acciones”.
Agregó que Morena miente todo el tiempo, indigna a la población que su presidente diga que los campos de exterminio encontrados en el rancho Izaguirre en el municipio de….. en Jalisco son producto de ataques hacia su Gobierno, que se crearon 9 mil cuentas de boots y se gastaron 20 millones de pesos, para desprestigiarla y que los mexicanos estamos a gusto con su Gobierno.
Por otra parte, afirmo que“Los militantes del PAN todos los días llegan a apoyar a quienes van a ser nuestras candidatas y candidatos, porque no ven a una dirigencia que les cause seguridad en su ideología en sus estatutos, sino que ven a una dirigencia entregada”, comento.
“todos los días” saltan al PRI, dice Ramírez Arana El tricolor es el único partido de verdadera oposición, afirma el dirigente estatal”.
Ramírez Arana, aseguró que el PRI, es el único partido de oposición que levanta la voz en contra Morena “Sus lacayos del MC jamás dicen algo, porque la gente del Partido Acción Nacional hoy no levanta la voz para nada, porque están entregados a MORENA que, por cierto, no nos han dado a conocer sus listas de candidatos.
¿Será porque hoy nadie quiere participar en un partido entregado a MORENA? Es la realidad de las cosas. Hoy nadie quiere ser su candidato y el PRI ya está con sus 212 postulaciones prácticamente, más aguerridos que nunca y como único partido de oposición”.",20-Mar-25,Nicolás Cruz Hernández
https://plumaslibres.com.mx/2025/02/27/mexico-concede-a-e-u-extradicion-de-29-narcotraficantes-entre-estos-caro-quintero/,"México concede a E.U extradición de 29 narcotraficantes, entre estos Caro Quintero","CDMX.- La Fiscalía General de la República (FGR) informó este jueves que29 personas mexicanas que estaban detenidas en centros penitenciariosdel país han sido extraditadas a Estados Unidos esta mañana. Una de esas personas es el fundador del Cártel de Guadalajara,Rafael Caro Quintero.
La extradición de más de20 personas de México a EU no tiene precedentes.
Además de Caro Quintero, también fueron extraditados los cabecillas del grupo deLos Zetas, los hermanosMiguel Treviño Morales y Omar Treviño Morales —alías el ‘Z-40′ y el ‘Z-42′, respectivamente—, confirmó a The Associated Press una funcionaria federal que habló en condición de anonimato porque no está autorizada para declarar.
El traslado de los detenidos, dice la autoridad, se ha realizado bajo protocolos institucionales con respeto a los derechos de las personas. Las personas extraditadas habrían sido requeridas por el Departamento de Justicia de Estados Unidos como parte de las acciones de reciprocidad bilateral.
La extradición de estos tres capos de alto nivel coincide con la visita que realizaban este jueves a Washington el canciller Juan Ramón de la Fuente y los secretarios de Economía, Seguridad, Defensa y Marina, Marcelo Ebrard, Omar García Harfuch, el general Ricardo Trevilla Trejo y el almirante Raymundo Morales, respectivamente, para avanzar en las discusiones con sus pares estadounidenses sobre posibles acuerdos en materia comercial y de seguridad.
Trump confirmó este mismo jueves que aplicará aranceles del 25 por ciento a Méxicoy Canadá, y acusó que las autoridades mexicanas no toman las medidas suficientes para detener el paso del fentanilo y otras drogas a territorio de EU, medida que se había acordado para “pausar” la entrada en vigor de este gravamen.
Una de las personas extraditadas a EU es el exnarcoRafael Caro Quintero, condenado porasesinar al agente de la DEA de Estados Unidos, Enrique ‘Kiki’ Camarena, en 1985, según Reuters.
Caro Quintero fue detenido el 15 de julio de 2022en San Simón, Sinaloa.
El líder criminal sinaloense nació en Badiraguato —el mismo municipio que Joaquín ‘El Chapo’ Guzmán—, y fue uno de los fundadores del Cártel de Guadalajara a finales de los años 1970. Posteriormente fue líder histórico del Cártel de Sinaloa junto a ‘El Chapo’, que en la actualidad cumple cadena perpetua en Estados Unidos, y junto a Ismael ‘El Mayo’ Zambada, quien fue detenido el año pasado en Texas.
Caro Quintero ha tenido el apodo de “narco de narcos” justo por ese motivo.
Luego de ser puesto en libertad en 2013, la DEA aseguró que contaba con evidencia de que desde que fue liberado,Caro Quinteroreanudó sus actividades relacionadas con narcotráfico, y que lideraba el Cártel de Sinaloa junto con Ismael ‘El Mayo’ Zambada, quien fue detenido en agosto de 2024.
Por otro lado, también han sido extraditados este jueves los hermanos Treviño, conocidos como el ‘Z-40′ y ‘Z-42′.
LosTreviño Morales, quienes han sido acusados por las autoridades estadounidenses de dirigir desde la cárcel elCártel del Noreste, tienen procesos pendientes en Estados Unidos por participar en una organización criminal, conspiración para el tráfico de drogas, delitos con armas de fuego y conspiración para el lavado de dinero. Les atribuyen actividades delictivas en México, Guatemala, Colombia, Venezuela y Estados Unidos.
La pregunta que todo México realiza esta noche es si el gobierno de la 4T entregó estos 29 narcotraficantes a cambio de que E.U conceda a México el regreso de Ismael «el Mayo Zambada» y si en una segunda entrega también irán ex funcionarios y funcionarios de la 4T que han operado con ellos, dejando una brutal estela de muerte, desaparecidos y demás en el país en los últimos años.
Con información de AP.",27-Feb-25,"CDMX.- La Fiscalía General de la República (FGR) informó este jueves que29 personas mexicanas que estaban detenidas en centros penitenciariosdel país han sido extraditadas a Estados Unidos esta mañana. Una de esas personas es el fundador del Cártel de Guadalajara,Rafael Caro Quintero."
https://plumaslibres.com.mx/2025/02/24/efecto-yunes-cazarin-y-zepeta-vs-manuel-huerta-arturo-reyes-isidoro-prosa-aprisa/,Efecto Yunes; Cazarín y Zepeta vs. Manuel Huerta / Arturo Reyes Isidoro / Prosa aprisa,"Arturo Reyes Isidoro
En plena etapa de intercampañas y a menos de veinte días de que Morena dé a conocer su lista de candidatos a las presidencias municipales, el dirigente estatal del partido guinda, Esteban Ramírez Zepeta, Zepeta, se sumó ayer a las críticas del delegado de Bienestar, Juan Javier Gómez Cazarín, Cazarín, en contra del senador Manuel Huerta a quien reprochan que no protestó contra la afiliación del también senador Miguel Ángel Yunes Márquez a su partido.
Ayer domingo, cinco días después de que Cazarín se le fue encima sin que él lo hubiera provocado, Manuel aprovechó una entrevista con reporteros para descalificarlo considerándolo un “adversario chiquito que no vale la pena” mientras que, a su vez, Zepeta replicó a Juan Javier y aunque no lo mencionó en forma directa, fue más que clara la alusión a Huerta a quien calificó de “simulador”, dijo que anda “a medias tintas”, que es “tibio” y “acomodaticio” pues mientras que declara “contra los verdaderos morenistas” se muestra “tibio” frente a los Yunes y su corrupción y sus agravios en contra de los veracruzanos.
El miércoles pasado el actual delegado de Bienestar soltó de su ronco pecho: “El senador Manuel Huerta, que muchas veces se manifestó con la carpeta azul, nunca la presentó. Yo no veo que se manifieste en contra de la llegada (a Morena) de Miguel Ángel Yunes Márquez, yo no veo que levante la voz. Habla de todo, pero en este caso se esconde y agacha la cabeza”. Pero no paró ahí. Volvió a la carga: “Yo lo quiero ver que se manifieste en contra de los Yunes. Por qué no lo ha hecho. No podemos tener doble discurso, eso es ser incongruente”.
Apenas un día antes los dirigentes nacionales de Morena habían afiliado a Yunes Márquez y entonces la única que se inconformó fue la gobernadora Rocío Nahle. Cazarín arremetió contra su ¿compañero? de partido no obstante que dos días antes, durante la visita de la presidenta Claudia Sheinbaum al estado, se habían tomado una selfie juntos, sonrientes, como si fueran buenos amigos, testimonio de la hipocresía que caracteriza a los políticos, del partido que sean.
Pero adentro de Morena se comenta que la declaración del expresidente de la Jucopo del Congreso local es porque está resentido en contra del exdelegado de Bienestar porque lo responsabiliza de haber influido en la Ciudad de México para impedirle que hiciera una serie de movimientos dentro de la delegación para colocar a sus allegados, como el exdiputade local Ky Durán Chincoya, quien de hecho funciona como delegado regional en el puerto de Veracruz pero sin nombramiento oficial, porque no lo aprobaron en la capital del país (su único logro como legislador fue haberse cambiado el nombre, pues antes se llamaba Iván Chincoya Durán).
Ayer, cuando los reporteros le pidieron su opinión sobre las críticas de Cazarín, Manuel reaccionó con un: “… no, no, yo ya no, yo (soy) de Televisa para arriba (en clara alusión a que el jueves Televisa le dedicó un “Las mangas del chaleco”), no, ya no. Quieren hacer fama a costa de un servidor, que me paguen las regalías y con mucho gusto. Yo ya no, adversarios chiquitos no, no valen la pena, yo mis respetos por los tamaños y los pesos”.
Afirma que no está peleado con la gobernadora
Cuando, por el momento, disminuyó el escándalo por la afiliación de Miguel Ángel Yunes Márquez a Morena, Manuel Huerta aprovechó para aclarar su posición respecto al tema.
Acusó que tanto la Fiscalía General del Estado como la General de la República no han actuado en contra de los Yunes, no obstante que fueron denunciados desde 2012 con base en la famosa Carpeta Azul, que contiene todos los elementos acusatorios. Recordó que fue el expresidente Andrés Manuel López Obrador quien la presentó y que cuando él le preguntó si volvían a presentarla, AMLO le dijo que no porque ya estaba hecha.
Afirmó que no está peleado con la gobernadora Rocío Nahle, que tan es así que la apoyó para que fuera la titular del Poder Ejecutivo, pero que no es su empleada, sino “empleado del pueblo”, de suerte que los que están acostumbrados a ser «serviles» del poder, incluidos algunos medios de comunicación, «allá ellos», y que por lo que hace a la solicitud de Nahle para que no se afilie a Yunes Márquez, coincidió y dijo que fue una afiliación precipitada o adelantada. «!Qué necesidad!, Rocío lo acaba de decir: no era el momento y hasta da una ruta que yo no sé qué va a hacer la Comisión de Honestidad y Justicia. La ruta la vamos a ver».
Preguntado si le corresponde a él avalar la afiliación de Yunes Márquez o si fue él quien lo llevó o le pidió que se afiliara, expuso: «Ya di mi lucha, ya está mi batalla, ya están los casos, si ustedes quieren seguirle investiguen sobre Odebrecht, sobre las aguas y las privatizaciones». Expresó que no teme que la familia Yunes se meta a Morena hasta tomar el control del partido como sucedió en el PAN (con información de Ángeles González y Verónica Huerta).
Al haberse lanzado contra el senador, el dirigente estatal Ramírez Zepeta, quien debió haber mediado para evitar enfrentamientos y rupturas entre sus compañeros de partido, dejó como única interlocutora a la gobernadora Rocío Nahle, o sea que en lugar de descargarle problemas y preocupaciones, le complica su trabajo, con lo que demuestra, una vez más, que no es el operador político idóneo y que sigue actuando como lo hizo con Cuitláhuac García Jiménez, cuando cargaba contra sus propios compañeros de partido por no aliarse a sus intereses.
Por lo que hace a Gómez Cazarín, tampoco ayuda a la gobernadora con sus declaraciones, pues es innegable la influencia que mantiene Manuel Huerta en la coordinación nacional y en la Secretaría de Bienestar, en la Ciudad de México, donde le tienen confianza y le creen por el trabajo que hizo, pero también por su influencia en la estructura humana de Morena en el estado, por lo que con mucha facilidad podría desestabilizar el trabajo de los programas de Bienestar si quisiera, lo que para nada les conviene estando en pleno proceso electoral municipal.
Si, sobre todo, Zepeta no allana su actitud belicosa en contra del senador, entonces será inevitable el choque por la solución que se dé a quiénes serán candidatas y candidatos a alcaldes, síndicos y regidores, proceso en el que Manuel juega con muchos de sus seguidores, y entonces sí, si desde la dirigencia de su partido se quieren agandallar posiciones, ahí sí va tener el Huerta respondón que quieren.
Y el causante de todo, ¡ay!, Yunes Márquez, seguramente ayer se la pasó tranquilo en el puerto, en la alberca, con unos drinks al lado, enterándose cómo sus nuevos “compañeros” de partido se estaban destrozando por su travesura de afiliarse a Morena. Ahora sí, como decía don Rubén Pabello Acosta, quien fue dueño y director del Diario de Xalapa, sea por Dios y venga más, como decía mi abuela.
Por otra parte, el senador Huerta también denunció en su conferencia de prensa que en más de 100 municipios Morena, su partido, apoya el nepotismo e inclusión de delincuentes, una muy grave acusación que comentaremos aparte, denuncia a la que, en cambio, para nada se refirió Zepeta.",24-Feb-25,Arturo Reyes Isidoro
https://plumaslibres.com.mx/2025/04/22/avanza-rehabilitacion-del-expenal-allende-para-convertirse-en-centro-cultural-de-la-uv/,Avanza rehabilitación del expenal Allende para convertirse en Centro Cultural de la UV,"Luis Ortiz
El proyecto de rehabilitación del expenal Ignacio Allende en Veracruz, que comenzó en febrero de 2025, muestra ya un avance significativo como parte del plan para convertir este histórico inmueble en el nuevo Centro Cultural de Artes de la Universidad Veracruzana (UV).
El edificio, propiedad de la máxima casa de estudios y donado por el ayuntamiento porteño, se encuentra actualmente en su primera etapa de remodelación, la cual incluye trabajos en la fachada y en la parte frontal del inmueble. Al momento, se observan estructuras metálicas instaladas en el interior, luego del derribo de algunos muros no estructurales.
De acuerdo con Jorge Genaro Vicente Martínez, vicerrector de la UV región Veracruz-Boca del Río, esta etapa deberá concluir antes de que termine el año, permitiendo así la operación inicial del Centro de Iniciación Musical Infantil.
Asimismo, a medida que avance la rehabilitación, otros espacios académicos y artísticos de la UV comenzarán a ocupar el inmueble. Entre ellos se encuentran el Taller Libre de Artes, la licenciatura en Fotografía y áreas de la Licenciatura en Música.
El vicerrector aclaró que se trabaja en total apego a las recomendaciones del Instituto Nacional de Antropología e Historia (INAH), manteniendo la estructura original del edificio.
“Vamos muy bien, hemos tenido un poquito de demora por aquello que se le da un seguimiento muy puntual con la perito del INAH; no se está derrumbando absolutamente nada, se están respetando todas las indicaciones del INAH, va a conservar mucha de la estructura y fachada original”, puntualizó.
Añadió que el centro cultural constará de dos niveles, motivo por el cual se están colocando las nuevas estructuras metálicas. Además, se tiene previsto realizar en los próximos días un recorrido para supervisar el avance de la obra.
Según lo anunciado por el rector de la Universidad Veracruzana, Martín Aguilar, la inversión estimada para este proyecto asciende a cerca de 30 millones de pesos, y contempla trabajos tanto hidráulicos como eléctricos.",22 Abr 25,Luis Ortiz
https://plumaslibres.com.mx/2025/03/07/localizan-madres-buscadoras-campo-de-exterminio-en-jalisco-con-400-pares-de-zapatos-y-ropa/,Localizan madres buscadoras campo de exterminio en Jalisco con 400 pares de zapatos y ropa,"Jalisco, Mex.-Un colectivo de búsqueda de personas halló tres hornos clandestinos en Teuchitlán, Jalisco, donde había alrededor de 400 pares de zapatos, ropa y maletas.
El colectivo Guerreros Buscadores de Jalisco informó del hallazgo el 5 de marzo, en el Rancho Izaguirre.
Se presume que al menos 200 personas fueron cremadas de manera ilegal en el sitio al encontrarse restos y fragmentos óseos.
El Rancho Izaguirre era un campo de adiestramiento, desmantelado en septiembre pasado. Sus paredes cuentan con múltiples orificios por disparos de arma de fuego.
Se presume que al menos 200 personas fueron cremadas de manera ilegal en el sitio al encontrarse restos y fragmentos óseos.
El Rancho Izaguirre era un campo de adiestramiento, desmantelado en septiembre pasado.Sus paredes cuentan con múltiples orificios por disparos de arma de fuego.En aquel entonces hubo 10 detenidos y dos rescatados.Se hizo una búsqueda en ciertas partes del rancho y se encontraron restos, pero no se pudo procesar el rancho completo porque son bastantes hectáreas”, recordó el fiscal de Jalisco, Salvador González de los Santos.
México vive una era de terror, masacre y muerte que se triplicó con la 4T en el poder. Mas de 200 personas pudieron haber sido incineradas en los campos de Jalisco, la ropa de niños, jovenes, podría indicar que hubo muchas víctimas de «trata de órganos», y no solo levantados por venganza de la delincuencia.",7-Mar-25,"Jalisco, Mex.-Un colectivo de búsqueda de personas halló tres hornos clandestinos en Teuchitlán, Jalisco, donde había alrededor de 400 pares de zapatos, ropa y maletas."
