titulo,articulo,fecha,autor,url,categoria
Señal Informativa |30 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

¡Llegamos a la última semana del 2024!

Accidentes automovilísticos y quema de pastizales, los incidentes más recurrentes durante esta semana de operativo decembrino en el #SurDeJalisco

Fallecen dos personas en accidente en carretera Ciudad Guzmán - Zapotiltic

Por bacterias y virus enfermedades respiratorias son más recurrentes durante esta temporada

Acompáñanos a conocer recomendaciones en tu visita a Mazamitla

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Señal Informativa |26 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

Señal Informativa |24 de Diciembre del 2024

Mezclas Duras | 23 de Diciembre 2024

Teponaztli |23 de Diciembre del 2024

El Criadero |23 de Diciembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-30-de-diciembre-del-2024/259366,Zapotlán el Grande
Coloquio de los Perros | 06 de Diciembre 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Boreal | 13 de Diciembre del 2024

Mezclas Duras | 09 de Diciembre 2024

Alma Con-Ciencia | 09 de Diciembre 2024

Boreal | 06 de Diciembre del 2024

Aprender a Desaprender | 03 de Diciembre 2024

Coloquio de los Perros | 29 de Noviembre 2024

Boreal | 29 de Noviembre del 2024

Aprender a Desaprender | 26 de Noviembre 2024

Señal Informativa |26 de Noviembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/coloquio-de-los-perros-06-de-diciembre-2024/255493,Zapotlán el Grande
La Cáscara | 09 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Señal Informativa |31 de Enero del 2025

Señal Informativa |30 de Enero del 2025

Cumbres de Babel | 29 de Enero del 2025

Señal Informativa |29 de Enero del 2025

Aprender a Desaprender | 28 de Enero 2025

Señal Informativa |28 de Enero del 2025

El Tecolote Canta | 27 de Enero 2025

Señal Informativa |27 de Enero del 2025

Boreal | 24 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/la-cascara-09-de-enero-2025/263213,Zapotlán el Grande
CANACO en Ciudad Guzmán se prepara para el Buen Fin 2024,"Ciudad Guzmán, Jalisco.

La Cámara Nacional de Comercio en Ciudad Guzmán espera buena participación de comerciantes en el próximo Buen Fin a realizarse del 15 al 18 de noviembre.

Alejandra Villafaña Zamora directora de la CANACO en Ciudad Guzmán, dio a conocer que ya han iniciado con el acercamiento a los comercios locales para que se sumen al Buen Fin y a su vez aprovechen un 25 por ciento de descuento en su afiliación a la CANACO.

""Pues la verdad se pronostica, que haya una gran derrama económica para la economía local. Nosotros como cámara estamos en esta parte de vender los carteles justamente para lo del Buen Fin que traen el logo de Cámara de Comercio y pues también en esta parte hacemos un registro estamos pidiéndoles información a las empresas"".

La directora de la CANACO señaló que hasta el momento 18 empresas locales se han registrado para participar en esta actividad, sin embargo, esperan llegar a la meta de 200 negocios, el doble de comercios registrados en el año anterior.

""El registro que tenemos del 2023, 100 empresas fueron registradas por nuestra por parte de Cámara de Comercio, en este 2024 se espera, pues que sean el doble, 200 empresas, como mínimo también tenemos un pronóstico ya general que nos compartió CONCACANCO sobre la derrama económica que se espera para este buen fin 2024 que es de 165 mil millones de pesos"".

Por otra parte, invitó a la ciudadanía a denunciar a negocios que ofrezcan falsos descuentos en caso de detectar estas malas prácticas, y pueden hacerlo en sus oficinas ubicadas en Andrés Quintana Roo No. 24.

""Sí, claro, porque como tal tiene que haber un cumplimiento de Términos y Condiciones de, o sea, como tal el Buen Fin es un logo, es una marca entonces al usarse indebidamente, pues puede haber sanciones para los negocios, nosotros podríamos darle seguimiento a esta mala práctica del mal uso del logo del Buen Fin"".

Finalmente, Villafaña Zamora informó que cualquier comercio que haga su registro en este Buen Fin podrá participar en un sorteo organizado por el Servicio de Administración Tributaria (SAT)

Mueren 3 trabajadores de bacheo de la SIOP tras volcadura en San Gabriel

Anuncian la 12va Feria de la Ciencia y la Tecnología a realizarse el 13 de noviembre en el CUSur

Preparatoria Regional de Zapotiltic celebra 31 años con conferencia de Trinidad Padilla López

Liderazgo y visión, requisitos obligados para la o el próximo Rector General de la UdeG: Trinidad Padilla

Señal Informativa |22 de Octubre del 2024

Un nuevo centro universitario para el Sur, tarea para quien ocupe la Rectoría de la UdeG: Villanueva

Inauguran nuevas instalaciones de Radio UdeG en Ciudad Guzmán

Puros Cuentos, Puros Comics |22 de Octubre 2024

Vida CUSur | 22 de Octubre del 2024

Anuncian la 12va Feria de la Ciencia y la Tecnología a realizarse el 13 de noviembre en el CUSur

Inauguran nuevas instalaciones de Radio UdeG en Ciudad Guzmán

Rehabilitación de drenaje y apoyo a la educación destacan en tercer informe de Gobierno en Tuxpan

Olla de captación explota en Sayula sin causar daños a la población

Aumentan precios en la Feria de la Birria 2024 en Ciudad Guzmán

Jóvenes universitarios de Sayula denuncian deficiencias en el transporte estudiantil

Realizarán reforestación en Los Ocotillos, invitan a la ciudadanía a plantar

Cambio en el sentido de calles fue por motivos de seguridad: argumenta tránsito de Zapotlán el Grande

Denuncian a directora en Guzmán por acoso, hostigamiento e insultos: CEDHJ “batea” las quejas",,Guillermo Tovar,https://udgtv.com/noticias/canaco-en-ciudad-guzman-se-prepara-para-el-buen-fin-2024/246375,Zapotlán el Grande
Teponaztli |16 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

El Criadero |13 de Enero del 2025

Policromía | 31 de Diciembre del 2024

El Criadero |30 de Diciembre del 2024

Policromía | 24 de Diciembre del 2024

El Criadero |23 de Diciembre del 2024

El Criadero |16 de Diciembre del 2024

Boreal | 13 de Diciembre del 2024

Planeta Diversidad | 13 de Diciembre del 2024

Señal Informativa |13 de Diciembre del 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/teponaztli-16-de-diciembre-del-2024/258912,Zapotlán el Grande
La Cáscara | 30 de Enero 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Acompáñanos este jueves de La Cáscara para hablar de lo mejor del deporte local con el Doc Esteban Navarro

Señal Informativa |31 de Enero del 2025

Señal Informativa |30 de Enero del 2025

Cumbres de Babel | 29 de Enero del 2025

Señal Informativa |29 de Enero del 2025

Aprender a Desaprender | 28 de Enero 2025

Señal Informativa |28 de Enero del 2025

El Tecolote Canta | 27 de Enero 2025

Señal Informativa |27 de Enero del 2025

Boreal | 24 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/la-cascara-30-de-enero-2025/263216,Zapotlán el Grande
Señal Informativa |01 de Enero del 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Resumen del año

Señal Informativa |31 de Enero del 2025

Señal Informativa |30 de Enero del 2025

Señal Informativa |29 de Enero del 2025

Señal Informativa |28 de Enero del 2025

Señal Informativa |27 de Enero del 2025

Señal Informativa |24 de Enero del 2025

Señal Informativa |23 de Enero del 2025

Señal Informativa |22 de Enero del 2025

Señal Informativa |21 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-01-de-enero-del-2025/260102,Zapotlán el Grande
Señal Informativa |27 de Enero del 2025,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: Google Podcasts | RSS | Más

Integran la red de municipios por la salud en la Región Sur del Estado de Jalisco.

Alcaldesa de Tuxpan denuncia centro de salud por abandono.

Diálogo entre vecinos y autoridades por proyecto de Unidad de Transferencia en Zapotiltic.

Gobierno de Sayula garantiza a ciudadanos el reembolso total por compra de boletos para concierto de Yuridia.

Señal Informativa |24 de Enero del 2025

Señal Informativa |23 de Enero del 2025

Señal Informativa |22 de Enero del 2025

Señal Informativa |21 de Enero del 2025

Señal Informativa |20 de Enero del 2025

Señal Informativa |17 de Enero del 2025

Señal Informativa |16 de Enero del 2025

Señal Informativa |15 de Enero del 2025

Señal Informativa |14 de Enero del 2025",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/senal-informativa-27-de-enero-del-2025/260091,Zapotlán el Grande
Tu Derecho |11 de Diciembre del 2024,"Podcast: Reproducir en una nueva ventana | Descargar

Suscríbete: RSS | Más

Esta tarde en el programa ""Tu Derecho"", hablamos sobre aguinaldo.

¿Conoces tu derechos sobre esta prestación laboral?, ¿Tienes alguna duda sobre este tema?, te conviene quedarte en este episodio

Boreal | 13 de Diciembre del 2024

Planeta Diversidad | 13 de Diciembre del 2024

Señal Informativa |13 de Diciembre del 2024

La Cáscara | 12 de Diciembre 2024

Psyheads - Sa. 12 Dic 2024

Tren al Sur | 12 de Diciembre 2024

Señal Informativa |12 de Diciembre del 2024

Señal Informativa |11 de Diciembre del 2024

Puros Cuentos, Puros Comics |10 de Diciembre 2024",,Radio UdeG Zapotlán el Grande,https://udgtv.com/noticias/tu-derecho-11-de-diciembre-del-2024/255830,Zapotlán el Grande
Secretarías del Estado visitan la Laguna de Zapotlán para evaluar su situación ambiental,"Zapotlán el Grande, Jalisco.

Representantes del gobierno del estado y de la federación visitan la Laguna de Zapotlán el Grande para identificar las problemáticas de este cuerpo de agua.

Gustavo Ernesto Figueroa Cuevas, director general del Organismo de Cuenca Lerma-Santiago-Pacifico de Conagua Jalisco detalló que es necesario definir las prioridades, diagnóstico y proyectos en específico en los que se deberá trabajar en conjunto con los tres niveles de gobierno y la ciudadanía.

“Necesitamos identificar muy bien prioridades. Necesitamos tener muy identificados los diagnósticos, las prioridades y luego los proyectos y los recursos. Necesitamos trabajar con un método preciso. ¿Por qué? Porque con el gobierno del estado y con los propios presidentes municipales estamos haciendo un plan maestro del agua para Jalisco, no para el tiempo, para los próximos 6 años"".

""Sabemos que los problemas que tienen los municipios no se van a poder solucionar en 1 año, ni 2, son muy grandes y que no es mucha la inversión. Pero si nos vamos con método, si nosotros estamos participando los tres niveles de gobierno, estamos determinando esas prioridades, viendo los proyectos y consiguiendo la inversión y mezclando los recursos. Entonces, vamos a poder hacerle frente al grave problema que tenemos"".

Fotografía: Isabel González

Por su parte, Ernesto Marroquín Álvarez, titular de la secretaria de Gestión Integral del Agua (SGA) en Jalisco detalló que luego de esta visita al municipio lo que sigue es realizar los proyectos ejecutivos para poder bajar recursos y puntualizó que en la administración 2012 – 2015 se autorizó un recurso para la ampliación de la planta de tratamiento de parte de la federación y del estado, en el que se esperaba la participación del municipio, sin embargo el municipio no aportó el recurso y este no se destinó. En ese sentido fue muy puntual en especificar que es necesario que los municipios aporten recurso a estos rubros.

“Registrado el proyecto para la ampliación de la planta, el recurso bajó a través de la Comisión Nacional del Agua (CONAGUA) y bueno, pues se rechazó porque no este y digo, tampoco quiero decir que fue una mala voluntad, lo que se mencionó aquel momento es que el el gobierno municipal no tenía recursos para dar su participación"".

""Entonces esas cosas suceden y el tema es que yo les lo que les digo ahorita es: siempre va a haber necesidad de que el municipio le ponga algo, ¿no? Entonces tenemos que estar preparados porque si bajamos recursos otra vez federales, estatales, pues que el municipio también esté preparado para para meter la parte que le corresponde"".

La asociación de ciudadanos y productores agroalimentarios Unidos por la Laguna de Zapotlán externaron la voluntad de trabajar en conjunto a partir de dos acciones:

“La asociación de ciudadanos y productores agroalimentarios unidos por la Laguna de Zapotlán ha formulado y expresado ante las autoridades estatales y municipales la problemática y alternativa de solución priorizando dos acciones. Una, el saneamiento del 100% de las aguas residuales que se vierten sin tratamiento a la laguna de Zapotitlán provenientes de los municipios de Zapotitlán el Grande y Comisarías.

""El desazolve gradual del cuerpo lacustre a fin de recuperar su volumen de almacenamiento y evitar el desbordamiento del agua en tierras productivas y previos urbanos”.

A partir de esta visita lo que se seguirá es que se concreten los proyectos ejecutivos para la gestión de recursos, sin embargo, el que se destine recurso sería para 2026.

Verificentro abarrotado y hasta dos horas de espera, realidades en Zapotlán el Grande

Astros de Jalisco refuerza su roster de cara a la nueva temporada

Astros de Jalisco visitan Zapotlán para sembrar la pasión del deporte en nuevas generaciones

Sader visita Laguna de Zapotlán y encuentra problema de contaminación

En 2024, Zapotlán registró 244 agresiones de perros

Luego de lonas de Profeco, gasolineras de Zapotlán “bajan” el precio

Con engaños, extorsionadores obligan a estudiante a aislarse en hotel; la hallan sana y salva

Comerciantes del centro ya no podrán trabajar los sábados

No sólo el Santiago está enfermo; el Río Coahuayana en Tuxpan también está contaminado

Verificentro abarrotado y hasta dos horas de espera, realidades en Zapotlán el Grande

En 2024, Zapotlán registró 244 agresiones de perros

Con engaños, extorsionadores obligan a estudiante a aislarse en hotel; la hallan sana y salva

Comerciantes del centro ya no podrán trabajar los sábados

Pequeñas afectaciones fueron generadas por el sismo de 6.1 en el Sur de Jalisco

Descarrilamiento de tren en Zapotiltic provoca cierre de carretera

Mueren 3 trabajadores de bacheo de la SIOP tras volcadura en San Gabriel

Un nuevo centro universitario para el Sur, tarea para quien ocupe la Rectoría de la UdeG: Villanueva

”El oficio de construir"", documental homenaje a Raúl Padilla, llega a la Prepa de Zapotiltic",,Ana Isabel González García,https://udgtv.com/noticias/secretarias-del-estado-visitan-la-laguna-de-zapotlan/259728,Zapotlán el Grande
